,hors,ws,wd,anno,mes,wp1
234,43,6.54,135.08,2009,7,0.23600000000000002
235,44,6.55,136.99,2009,7,0.226
236,45,6.1,137.86,2009,7,0.271
237,46,5.0,136.92,2009,7,0.271
238,47,3.65,132.35,2009,7,0.29600000000000004
239,48,2.65,120.46,2009,7,0.521
264,25,6.25,124.56,2009,7,0.386
265,26,6.68,125.63,2009,7,0.461
266,27,6.78,126.61,2009,7,0.451
267,28,6.61,127.55,2009,7,0.376
268,29,6.37,128.83,2009,7,0.266
269,30,6.29,130.81,2009,7,0.24100000000000002
270,31,6.49,133.38,2009,7,0.23600000000000002
271,32,6.64,135.67,2009,7,0.226
272,33,6.32,137.18,2009,7,0.271
273,34,5.24,137.51,2009,7,0.271
274,35,3.84,135.24,2009,7,0.29600000000000004
275,36,2.72,126.06,2009,7,0.521
276,37,2.48,109.42,2009,7,0.12
277,38,2.89,97.47,2009,7,0.195
278,39,3.39,92.69,2009,7,0.281
279,40,3.62,91.43,2009,7,0.221
280,41,3.62,91.91,2009,7,0.14
281,42,3.56,93.41,2009,7,0.21600000000000003
282,43,3.56,95.12,2009,7,0.281
283,44,3.6,95.72,2009,7,0.20600000000000002
284,45,3.61,93.93,2009,7,0.185
285,46,3.58,89.04,2009,7,0.24600000000000002
286,47,3.56,83.04,2009,7,0.266
287,48,3.58,78.91,2009,7,0.165
312,25,2.22,107.36,2009,7,0.12
313,26,2.74,95.16,2009,7,0.195
314,27,3.35,87.75,2009,7,0.281
315,28,3.62,80.64,2009,7,0.221
316,29,3.63,73.74,2009,7,0.14
317,30,3.53,69.26,2009,7,0.21600000000000003
318,31,3.39,69.89,2009,7,0.281
319,32,3.29,75.29,2009,7,0.20600000000000002
320,33,3.33,83.51,2009,7,0.185
321,34,3.55,91.91,2009,7,0.24600000000000002
322,35,3.87,99.62,2009,7,0.266
323,36,4.18,107.07,2009,7,0.165
324,37,4.45,114.81,2009,7,0.025
325,38,4.7,122.05,2009,7,0.01
326,39,4.97,127.59,2009,7,0.0
327,40,5.24,130.65,2009,7,0.01
328,41,5.5,131.65,2009,7,0.035
329,42,5.77,131.19,2009,7,0.03
330,43,6.01,129.85,2009,7,0.02
331,44,5.99,128.48,2009,7,0.045
332,45,5.39,127.81,2009,7,0.07
333,46,4.07,128.55,2009,7,0.085
334,47,2.54,130.52,2009,7,0.065
335,48,1.5,129.98,2009,7,0.19
360,25,3.14,73.68,2009,7,0.025
361,26,3.02,77.26,2009,7,0.01
362,27,3.05,82.43,2009,7,0.0
363,28,3.25,87.2,2009,7,0.01
364,29,3.55,91.96,2009,7,0.035
365,30,3.85,97.96,2009,7,0.03
366,31,4.09,105.89,2009,7,0.02
367,32,4.2,114.23,2009,7,0.045
368,33,4.03,122.06,2009,7,0.07
369,34,3.45,129.88,2009,7,0.085
370,35,2.65,140.2,2009,7,0.065
371,36,1.92,156.29,2009,7,0.19
372,37,1.48,177.4,2009,7,0.01
373,38,1.19,195.88,2009,7,0.035
374,39,0.7,208.66,2009,7,0.09
375,40,0.18,19.47,2009,7,0.115
376,41,1.26,33.51,2009,7,0.06
377,42,2.28,36.61,2009,7,0.05
378,43,3.0,38.69,2009,7,0.03
379,44,3.26,40.79,2009,7,0.0
380,45,2.97,43.81,2009,7,0.0
381,46,2.12,50.42,2009,7,0.04
382,47,1.25,70.03,2009,7,0.04
383,48,1.06,102.67,2009,7,0.09
408,25,2.59,101.45,2009,7,0.01
409,26,2.79,96.81,2009,7,0.035
410,27,3.04,94.47,2009,7,0.09
411,28,3.09,94.66,2009,7,0.115
412,29,2.99,95.59,2009,7,0.06
413,30,2.86,94.98,2009,7,0.05
414,31,2.8,91.61,2009,7,0.03
415,32,2.76,89.98,2009,7,0.0
416,33,2.64,96.35,2009,7,0.0
417,34,2.58,115.4,2009,7,0.04
418,35,2.89,135.81,2009,7,0.04
419,36,3.23,145.78,2009,7,0.09
420,37,3.18,143.65,2009,7,0.125
421,38,3.05,131.88,2009,7,0.085
422,39,3.4,117.41,2009,7,0.055
423,40,4.36,110.08,2009,7,0.085
424,41,5.52,108.53,2009,7,0.21100000000000002
425,42,6.45,109.39,2009,7,0.266
426,43,6.88,111.41,2009,7,0.185
427,44,6.86,114.52,2009,7,0.16
428,45,6.58,118.95,2009,7,0.075
429,46,6.17,124.62,2009,7,0.175
430,47,5.67,130.07,2009,7,0.12
431,48,5.01,132.98,2009,7,0.015
456,25,2.75,104.88,2009,7,0.125
457,26,2.63,113.22,2009,7,0.085
458,27,2.87,113.42,2009,7,0.055
459,28,3.68,106.91,2009,7,0.085
460,29,4.8,102.13,2009,7,0.21100000000000002
461,30,5.7,101.76,2009,7,0.266
462,31,6.01,106.04,2009,7,0.185
463,32,5.94,112.99,2009,7,0.16
464,33,5.76,119.96,2009,7,0.075
465,34,5.58,124.08,2009,7,0.175
466,35,5.24,125.42,2009,7,0.12
467,36,4.63,124.82,2009,7,0.015
468,37,3.71,122.61,2009,7,0.05
469,38,2.75,117.63,2009,7,0.07
470,39,2.1,108.58,2009,7,0.005
471,40,1.97,99.44,2009,7,0.0
472,41,2.15,95.18,2009,7,0.03
473,42,2.33,94.53,2009,7,0.02
474,43,2.34,95.32,2009,7,0.075
475,44,2.37,97.23,2009,7,0.105
476,45,2.71,99.64,2009,7,0.16
477,46,3.55,101.42,2009,7,0.18
478,47,4.64,102.73,2009,7,0.231
479,48,5.65,104.21,2009,7,0.306
504,25,3.62,142.58,2009,7,0.05
505,26,2.69,130.06,2009,7,0.07
506,27,2.28,107.13,2009,7,0.005
507,28,2.38,93.27,2009,7,0.0
508,29,2.58,90.16,2009,7,0.03
509,30,2.72,90.55,2009,7,0.02
510,31,2.79,90.02,2009,7,0.075
511,32,2.99,90.38,2009,7,0.105
512,33,3.56,93.85,2009,7,0.16
513,34,4.66,99.29,2009,7,0.18
514,35,5.91,103.75,2009,7,0.231
515,36,6.74,107.05,2009,7,0.306
516,37,6.75,109.9,2009,7,0.28600000000000003
517,38,6.25,112.66,2009,7,0.24600000000000002
518,39,5.67,114.88,2009,7,0.306
519,40,5.38,115.45,2009,7,0.306
520,41,5.42,114.48,2009,7,0.306
521,42,5.73,112.9,2009,7,0.316
522,43,6.25,111.54,2009,7,0.381
523,44,6.77,110.49,2009,7,0.41100000000000003
524,45,7.04,109.54,2009,7,0.426
525,46,6.9,108.46,2009,7,0.391
526,47,6.41,107.13,2009,7,0.34600000000000003
527,48,5.68,105.48,2009,7,0.02
552,25,5.81,111.96,2009,7,0.28600000000000003
553,26,5.77,118.01,2009,7,0.24600000000000002
554,27,5.59,122.9,2009,7,0.306
555,28,5.3,125.01,2009,7,0.306
556,29,5.06,123.84,2009,7,0.306
557,30,5.12,119.5,2009,7,0.316
558,31,5.64,113.69,2009,7,0.381
559,32,6.34,109.02,2009,7,0.41100000000000003
560,33,6.78,106.35,2009,7,0.426
561,34,6.62,105.49,2009,7,0.391
562,35,5.97,105.4,2009,7,0.34600000000000003
563,36,5.07,104.76,2009,7,0.02
564,37,4.15,101.92,2009,7,0.271
565,38,3.37,96.65,2009,7,0.276
566,39,2.89,90.84,2009,7,0.226
567,40,2.72,88.22,2009,7,0.276
568,41,2.74,88.58,2009,7,0.21600000000000003
569,42,2.77,89.37,2009,7,0.145
570,43,2.69,89.16,2009,7,0.1
571,44,2.59,91.29,2009,7,0.07
572,45,2.63,100.31,2009,7,0.06
573,46,3.07,115.48,2009,7,0.06
574,47,3.76,128.93,2009,7,0.045
575,48,4.32,139.39,2009,7,0.045
600,25,4.39,102.77,2009,7,0.271
601,26,3.71,100.11,2009,7,0.276
602,27,3.22,98.62,2009,7,0.226
603,28,3.0,98.16,2009,7,0.276
604,29,2.93,98.4,2009,7,0.21600000000000003
605,30,2.87,98.73,2009,7,0.145
606,31,2.7,98.95,2009,7,0.1
607,32,2.57,100.65,2009,7,0.07
608,33,2.65,105.65,2009,7,0.06
609,34,3.08,113.26,2009,7,0.06
610,35,3.65,121.26,2009,7,0.045
611,36,4.05,130.27,2009,7,0.045
612,37,4.13,142.14,2009,7,0.085
613,38,4.12,154.67,2009,7,0.085
614,39,4.09,162.87,2009,7,0.08
615,40,3.96,162.8,2009,7,0.095
616,41,3.82,157.63,2009,7,0.05
617,42,3.8,153.16,2009,7,0.035
618,43,3.92,154.31,2009,7,0.055
619,44,4.0,159.48,2009,7,0.04
620,45,3.88,166.46,2009,7,0.035
621,46,3.42,174.77,2009,7,0.02
622,47,2.88,183.66,2009,7,0.025
623,48,2.5,188.19,2009,7,0.316
648,25,3.6,138.73,2009,7,0.085
649,26,3.84,151.95,2009,7,0.085
650,27,4.09,160.06,2009,7,0.08
651,28,4.17,161.18,2009,7,0.095
652,29,4.17,158.4,2009,7,0.05
653,30,4.22,155.6,2009,7,0.035
654,31,4.4,155.87,2009,7,0.055
655,32,4.53,158.69,2009,7,0.04
656,33,4.39,163.29,2009,7,0.035
657,34,3.88,169.81,2009,7,0.02
658,35,3.23,177.13,2009,7,0.025
659,36,2.69,180.18,2009,7,0.316
660,37,2.44,171.44,2009,7,0.03
661,38,2.55,156.7,2009,7,0.045
662,39,2.83,146.9,2009,7,0.065
663,40,2.93,145.09,2009,7,0.075
664,41,2.83,148.48,2009,7,0.135
665,42,2.62,154.92,2009,7,0.185
666,43,2.38,162.56,2009,7,0.075
667,44,2.13,170.49,2009,7,0.005
668,45,1.85,177.95,2009,7,0.0
669,46,1.52,184.87,2009,7,0.0
670,47,1.23,196.1,2009,7,0.03
671,48,1.17,217.24,2009,7,0.03
696,25,2.43,186.46,2009,7,0.03
697,26,2.65,175.37,2009,7,0.045
698,27,2.84,165.19,2009,7,0.065
699,28,2.76,157.45,2009,7,0.075
700,29,2.49,150.99,2009,7,0.135
701,30,2.22,146.59,2009,7,0.185
702,31,2.09,146.76,2009,7,0.075
703,32,2.01,151.88,2009,7,0.005
704,33,1.91,161.59,2009,7,0.0
705,34,1.74,176.88,2009,7,0.0
706,35,1.66,196.98,2009,7,0.03
707,36,1.71,216.57,2009,7,0.03
708,37,1.82,231.35,2009,7,0.0
709,38,1.93,243.11,2009,7,0.0
710,39,2.07,253.86,2009,7,0.0
711,40,2.27,264.3,2009,7,0.0
712,41,2.5,274.57,2009,7,0.0
713,42,2.75,285.27,2009,7,0.015
714,43,3.0,296.54,2009,7,0.005
715,44,3.24,306.5,2009,7,0.025
716,45,3.33,313.88,2009,7,0.095
717,46,3.19,318.54,2009,7,0.085
718,47,2.92,321.26,2009,7,0.13
719,48,2.72,322.18,2009,7,0.06
744,25,2.28,261.44,2009,7,0.0
745,26,2.5,271.12,2009,7,0.0
746,27,2.7,278.66,2009,7,0.0
747,28,2.85,284.93,2009,7,0.0
748,29,2.96,290.85,2009,7,0.0
749,30,3.06,297.13,2009,7,0.015
750,31,3.16,303.86,2009,7,0.005
751,32,3.25,309.85,2009,7,0.025
752,33,3.25,314.05,2009,7,0.095
753,34,3.11,315.96,2009,7,0.085
754,35,2.92,316.51,2009,7,0.13
755,36,2.79,316.95,2009,7,0.06
756,37,2.83,318.42,2009,7,0.095
757,38,2.97,321.09,2009,7,0.095
758,39,3.12,324.9,2009,7,0.1
759,40,3.21,329.87,2009,7,0.16
760,41,3.25,335.03,2009,7,0.19
761,42,3.23,339.2,2009,7,0.165
762,43,3.15,341.42,2009,7,0.105
763,44,3.08,341.68,2009,7,0.09
764,45,3.11,340.17,2009,7,0.1
765,46,3.32,337.69,2009,7,0.095
766,47,3.57,335.75,2009,7,0.11
767,48,3.69,335.4,2009,7,0.11
792,25,2.69,321.01,2009,7,0.095
793,26,2.8,321.13,2009,7,0.095
794,27,2.96,322.83,2009,7,0.1
795,28,3.11,326.13,2009,7,0.16
796,29,3.22,329.61,2009,7,0.19
797,30,3.25,331.82,2009,7,0.165
798,31,3.2,331.92,2009,7,0.105
799,32,3.12,330.95,2009,7,0.09
800,33,3.11,330.58,2009,7,0.1
801,34,3.25,332.0,2009,7,0.095
802,35,3.44,334.32,2009,7,0.11
803,36,3.6,336.42,2009,7,0.11
804,37,3.64,338.08,2009,7,0.005
805,38,3.62,340.89,2009,7,0.0
806,39,3.64,346.76,2009,7,0.04
807,40,3.85,356.17,2009,7,0.165
808,41,4.29,6.43,2009,7,0.266
809,42,4.91,15.2,2009,7,0.326
810,43,5.55,21.71,2009,7,0.35100000000000003
811,44,5.94,26.01,2009,7,0.361
812,45,5.78,28.47,2009,7,0.311
813,46,4.9,29.24,2009,7,0.306
814,47,3.71,28.34,2009,7,0.29100000000000004
815,48,2.77,25.3,2009,7,0.12
840,25,3.8,346.4,2009,7,0.005
841,26,3.89,352.01,2009,7,0.0
842,27,4.16,358.52,2009,7,0.04
843,28,4.7,3.91,2009,7,0.165
844,29,5.35,8.29,2009,7,0.266
845,30,5.9,12.73,2009,7,0.326
846,31,6.2,17.96,2009,7,0.35100000000000003
847,32,6.17,22.93,2009,7,0.361
848,33,5.69,26.33,2009,7,0.311
849,34,4.69,26.82,2009,7,0.306
850,35,3.57,24.23,2009,7,0.29100000000000004
851,36,2.8,19.62,2009,7,0.12
852,37,2.72,17.63,2009,7,0.23600000000000002
853,38,3.08,18.31,2009,7,0.366
854,39,3.51,18.58,2009,7,0.381
855,40,3.73,17.32,2009,7,0.42100000000000004
856,41,3.75,17.08,2009,7,0.48100000000000004
857,42,3.67,21.33,2009,7,0.451
858,43,3.7,32.12,2009,7,0.466
859,44,3.99,43.78,2009,7,0.47600000000000003
860,45,4.43,49.87,2009,7,0.501
861,46,4.82,48.99,2009,7,0.42100000000000004
862,47,5.15,46.76,2009,7,0.251
863,48,5.43,48.76,2009,7,0.19
888,25,2.69,20.28,2009,7,0.23600000000000002
889,26,2.98,23.03,2009,7,0.366
890,27,3.3,27.86,2009,7,0.381
891,28,3.43,33.52,2009,7,0.42100000000000004
892,29,3.47,39.7,2009,7,0.48100000000000004
893,30,3.6,45.16,2009,7,0.451
894,31,3.9,48.14,2009,7,0.466
895,32,4.21,48.08,2009,7,0.47600000000000003
896,33,4.34,44.89,2009,7,0.501
897,34,4.23,38.43,2009,7,0.42100000000000004
898,35,4.17,31.81,2009,7,0.251
899,36,4.42,30.59,2009,7,0.19
900,37,5.13,37.18,2009,7,0.226
901,38,6.11,46.49,2009,7,0.18
902,39,7.0,55.65,2009,7,0.065
903,40,7.45,65.02,2009,7,0.115
904,41,7.56,75.69,2009,7,0.306
905,42,7.56,88.08,2009,7,0.47100000000000003
906,43,7.66,101.47,2009,7,0.596
907,44,7.86,113.36,2009,7,0.657
908,45,7.9,121.63,2009,7,0.586
909,46,7.48,125.53,2009,7,0.5760000000000001
910,47,6.7,126.42,2009,7,0.627
911,48,5.87,125.69,2009,7,0.281
936,25,4.18,25.94,2009,7,0.226
937,26,5.01,21.3,2009,7,0.18
938,27,5.33,27.85,2009,7,0.065
939,28,5.24,50.14,2009,7,0.115
940,29,5.97,79.5,2009,7,0.306
941,30,7.44,100.47,2009,7,0.47100000000000003
942,31,8.48,113.07,2009,7,0.596
943,32,8.86,121.69,2009,7,0.657
944,33,8.69,127.46,2009,7,0.586
945,34,8.09,130.09,2009,7,0.5760000000000001
946,35,7.25,130.35,2009,7,0.627
947,36,6.41,129.37,2009,7,0.281
948,37,5.74,128.45,2009,7,0.521
949,38,5.21,127.77,2009,7,0.35100000000000003
950,39,4.73,127.0,2009,7,0.536
951,40,4.21,125.69,2009,7,0.617
952,41,3.73,123.58,2009,7,0.5660000000000001
953,42,3.37,120.65,2009,7,0.41100000000000003
954,43,3.2,116.98,2009,7,0.29100000000000004
955,44,3.18,111.72,2009,7,0.29100000000000004
956,45,3.25,103.65,2009,7,0.391
957,46,3.45,92.69,2009,7,0.446
958,47,3.84,82.74,2009,7,0.496
959,48,4.36,77.21,2009,7,0.276
984,25,5.01,139.81,2009,7,0.521
985,26,4.68,135.93,2009,7,0.35100000000000003
986,27,4.38,129.36,2009,7,0.536
987,28,4.05,125.08,2009,7,0.617
988,29,3.67,123.04,2009,7,0.5660000000000001
989,30,3.3,121.47,2009,7,0.41100000000000003
990,31,2.98,118.57,2009,7,0.29100000000000004
991,32,2.83,114.98,2009,7,0.29100000000000004
992,33,2.95,112.8,2009,7,0.391
993,34,3.35,113.16,2009,7,0.446
994,35,3.81,113.85,2009,7,0.496
995,36,4.08,112.93,2009,7,0.276
996,37,3.98,109.11,2009,7,0.075
997,38,3.82,103.0,2009,7,0.18
998,39,3.99,97.46,2009,7,0.21100000000000002
999,40,4.68,95.68,2009,7,0.29600000000000004
1000,41,5.67,96.01,2009,7,0.29100000000000004
1001,42,6.59,96.33,2009,7,0.29600000000000004
1002,43,7.16,95.94,2009,7,0.376
1003,44,7.18,95.77,2009,7,0.401
1004,45,6.5,97.14,2009,7,0.371
1005,46,5.11,102.29,2009,7,0.28600000000000003
1006,47,3.63,113.51,2009,7,0.175
1007,48,2.77,128.62,2009,7,0.546
1032,25,4.64,108.01,2009,7,0.075
1033,26,4.76,110.99,2009,7,0.18
1034,27,5.06,112.45,2009,7,0.21100000000000002
1035,28,5.68,111.2,2009,7,0.29600000000000004
1036,29,6.4,108.97,2009,7,0.29100000000000004
1037,30,6.88,107.18,2009,7,0.29600000000000004
1038,31,6.86,106.38,2009,7,0.376
1039,32,6.34,106.4,2009,7,0.401
1040,33,5.39,107.17,2009,7,0.371
1041,34,4.15,109.06,2009,7,0.28600000000000003
1042,35,2.95,113.15,2009,7,0.175
1043,36,2.2,120.21,2009,7,0.546
1044,37,2.16,125.59,2009,7,0.07
1045,38,2.54,125.69,2009,7,0.135
1046,39,3.0,122.85,2009,7,0.165
1047,40,3.26,118.86,2009,7,0.23600000000000002
1048,41,3.34,115.17,2009,7,0.306
1049,42,3.3,113.54,2009,7,0.336
1050,43,3.22,115.19,2009,7,0.29600000000000004
1051,44,3.19,117.31,2009,7,0.23600000000000002
1052,45,3.33,115.78,2009,7,0.201
1053,46,3.74,109.5,2009,7,0.29100000000000004
1054,47,4.44,104.88,2009,7,0.321
1055,48,5.29,106.24,2009,7,0.29100000000000004
1080,25,2.54,139.14,2009,7,0.07
1081,26,2.79,132.43,2009,7,0.135
1082,27,3.2,123.79,2009,7,0.165
1083,28,3.44,117.64,2009,7,0.23600000000000002
1084,29,3.49,113.78,2009,7,0.306
1085,30,3.4,112.54,2009,7,0.336
1086,31,3.25,114.38,2009,7,0.29600000000000004
1087,32,3.2,116.75,2009,7,0.23600000000000002
1088,33,3.34,115.86,2009,7,0.201
1089,34,3.8,110.6,2009,7,0.29100000000000004
1090,35,4.52,106.27,2009,7,0.321
1091,36,5.36,106.37,2009,7,0.29100000000000004
1092,37,6.2,111.01,2009,7,0.326
1093,38,6.98,116.49,2009,7,0.486
1094,39,7.58,120.04,2009,7,0.451
1095,40,7.87,120.54,2009,7,0.5760000000000001
1096,41,7.98,119.54,2009,7,0.667
1097,42,8.16,118.93,2009,7,0.7120000000000001
1098,43,8.52,119.96,2009,7,0.787
1099,44,8.7,121.91,2009,7,0.8270000000000001
1100,45,8.2,124.03,2009,7,0.847
1101,46,6.74,126.14,2009,7,0.672
1102,47,4.87,128.0,2009,7,0.511
1103,48,3.35,127.31,2009,7,0.105
1128,25,6.32,96.11,2009,7,0.326
1129,26,6.78,105.63,2009,7,0.486
1130,27,7.39,113.06,2009,7,0.451
1131,28,8.07,116.0,2009,7,0.5760000000000001
1132,29,8.68,116.73,2009,7,0.667
1133,30,9.13,117.83,2009,7,0.7120000000000001
1134,31,9.37,120.69,2009,7,0.787
1135,32,9.24,124.12,2009,7,0.8270000000000001
1136,33,8.5,126.55,2009,7,0.847
1137,34,7.02,126.58,2009,7,0.672
1138,35,5.27,123.88,2009,7,0.511
1139,36,3.86,118.75,2009,7,0.105
1140,37,3.2,114.65,2009,7,0.18
1141,38,3.08,113.24,2009,7,0.221
1142,39,3.13,112.24,2009,7,0.281
1143,40,3.1,109.16,2009,7,0.371
1144,41,3.01,105.35,2009,7,0.47600000000000003
1145,42,2.93,103.52,2009,7,0.41600000000000004
1146,43,2.88,105.71,2009,7,0.401
1147,44,2.88,109.43,2009,7,0.28600000000000003
1148,45,2.9,110.9,2009,7,0.221
1149,46,2.92,108.56,2009,7,0.19
1150,47,3.01,109.0,2009,7,0.316
1151,48,3.31,119.44,2009,7,0.21100000000000002
1176,25,3.34,113.09,2009,7,0.18
1177,26,3.15,110.86,2009,7,0.221
1178,27,3.16,110.25,2009,7,0.281
1179,28,3.12,110.69,2009,7,0.371
1180,29,3.01,111.22,2009,7,0.47600000000000003
1181,30,2.84,110.7,2009,7,0.41600000000000004
1182,31,2.66,108.25,2009,7,0.401
1183,32,2.59,105.38,2009,7,0.28600000000000003
1184,33,2.74,104.85,2009,7,0.221
1185,34,3.16,108.08,2009,7,0.19
1186,35,3.71,113.65,2009,7,0.316
1187,36,4.24,120.76,2009,7,0.21100000000000002
1188,37,4.63,129.33,2009,7,0.17
1189,38,4.98,137.33,2009,7,0.185
1190,39,5.34,142.26,2009,7,0.18
1191,40,5.64,142.92,2009,7,0.175
1192,41,5.84,141.35,2009,7,0.21100000000000002
1193,42,5.89,139.83,2009,7,0.276
1194,43,5.71,139.91,2009,7,0.24600000000000002
1195,44,5.28,141.27,2009,7,0.231
1196,45,4.57,143.29,2009,7,0.23600000000000002
1197,46,3.59,145.51,2009,7,0.231
1198,47,2.55,147.82,2009,7,0.21100000000000002
1199,48,1.72,149.05,2009,7,0.331
1224,25,4.37,142.84,2009,7,0.17
1225,26,4.93,143.27,2009,7,0.185
1226,27,5.38,143.24,2009,7,0.18
1227,28,5.64,142.94,2009,7,0.175
1228,29,5.72,142.32,2009,7,0.21100000000000002
1229,30,5.63,141.24,2009,7,0.276
1230,31,5.39,139.66,2009,7,0.24600000000000002
1231,32,4.97,138.26,2009,7,0.231
1232,33,4.37,138.14,2009,7,0.23600000000000002
1233,34,3.59,140.75,2009,7,0.231
1234,35,2.78,145.78,2009,7,0.21100000000000002
1235,36,2.08,150.46,2009,7,0.331
1236,37,1.54,147.53,2009,7,0.075
1237,38,1.15,129.6,2009,7,0.065
1238,39,1.08,94.54,2009,7,0.04
1239,40,1.44,62.38,2009,7,0.05
1240,41,2.05,45.88,2009,7,0.065
1241,42,2.65,39.05,2009,7,0.08
1242,43,3.12,37.03,2009,7,0.04
1243,44,3.45,35.86,2009,7,0.06
1244,45,3.67,32.96,2009,7,0.135
1245,46,3.85,27.15,2009,7,0.115
1246,47,4.0,20.26,2009,7,0.12
1247,48,4.09,14.33,2009,7,0.1
1272,25,1.79,109.22,2009,7,0.075
1273,26,2.04,94.62,2009,7,0.065
1274,27,2.51,82.36,2009,7,0.04
1275,28,2.96,71.01,2009,7,0.05
1276,29,3.36,61.47,2009,7,0.065
1277,30,3.65,54.99,2009,7,0.08
1278,31,3.76,51.75,2009,7,0.04
1279,32,3.76,49.54,2009,7,0.06
1280,33,3.79,46.13,2009,7,0.135
