,date,hors,ws,wd,horsObs,wp1
3948,20090811,13,3.42,114.18,0,0.03
3949,20090811,14,3.45,114.54,0,0.0
3950,20090811,15,3.37,114.48,0,0.0
3951,20090811,16,3.23,114.09,0,0.0
3952,20090811,17,3.14,115.62,0,0.01
3953,20090811,18,3.27,121.68,0,0.06
3954,20090811,19,3.76,131.38,0,0.065
3955,20090811,20,4.36,139.86,0,0.065
3956,20090811,21,4.58,146.18,0,0.065
3957,20090811,22,4.08,151.73,0,0.025
3958,20090811,23,3.22,157.9,0,0.02
3960,20090811,25,2.17,162.29,0,0.03
3961,20090811,26,2.24,155.63,0,0.06
3962,20090811,27,2.47,149.44,0,0.135
3963,20090811,28,2.64,146.48,0,0.12
3964,20090811,29,2.7,145.84,0,0.13
3965,20090811,30,2.66,146.6,0,0.115
3966,20090811,31,2.54,148.24,0,0.115
3967,20090811,32,2.43,150.06,0,0.11
3968,20090811,33,2.43,151.03,0,0.06
3969,20090811,34,2.59,150.81,0,0.03
3970,20090811,35,2.81,152.16,0,0.045
3971,20090811,36,2.95,157.94,0,0.045
3972,20090811,37,3.01,169.85,0,0.015
3973,20090811,38,3.12,183.68,0,0.005
3974,20090811,39,3.21,193.96,0,0.025
3975,20090811,40,3.11,198.07,0,0.035
3976,20090811,41,2.89,197.46,0,0.03
3977,20090811,42,2.75,193.84,0,0.01
3978,20090811,43,2.82,189.89,0,0.005
3979,20090811,44,2.95,187.61,0,0.0
3980,20090811,45,2.91,187.75,0,0.0
3981,20090811,46,2.56,190.81,0,0.01
3986,20090811,3,3.96,117.35,12,0.105
3987,20090811,4,3.69,115.38,12,0.09
3988,20090811,5,3.37,116.67,12,0.17
3989,20090811,6,3.29,124.64,12,0.13
3990,20090811,7,3.74,137.63,12,0.11
3991,20090811,8,4.45,147.84,12,0.13
3992,20090811,9,4.78,154.05,12,0.055
3993,20090811,10,4.27,157.98,12,0.05
3994,20090811,11,3.28,161.03,12,0.04
3995,20090811,12,2.4,162.37,12,0.02
3996,20090811,13,2.07,158.94,12,0.03
3997,20090811,14,2.16,153.23,12,0.06
3998,20090811,15,2.41,149.85,12,0.135
3999,20090811,16,2.56,149.82,12,0.12
4000,20090811,17,2.61,151.88,12,0.13
4001,20090811,18,2.61,154.88,12,0.115
4002,20090811,19,2.62,157.78,12,0.115
4003,20090811,20,2.61,159.96,12,0.11
4004,20090811,21,2.56,160.98,12,0.06
4005,20090811,22,2.46,160.84,12,0.03
4006,20090811,23,2.34,161.81,12,0.045
4007,20090811,24,2.3,167.0,12,0.045
4008,20090811,25,2.41,177.31,12,0.015
4009,20090811,26,2.67,187.23,12,0.005
4010,20090811,27,2.87,192.91,12,0.025
4011,20090811,28,2.86,193.62,12,0.035
4012,20090811,29,2.73,190.94,12,0.03
4013,20090811,30,2.67,186.93,12,0.01
4014,20090811,31,2.79,184.25,12,0.005
4015,20090811,32,2.94,183.79,12,0.0
4016,20090811,33,2.9,185.61,12,0.0
4017,20090811,34,2.56,190.18,12,0.01
4018,20090811,35,2.1,196.38,12,0.015
4020,20090811,37,1.66,191.67,12,0.02
4021,20090811,38,1.74,178.68,12,0.05
4022,20090811,39,1.78,167.13,12,0.05
4034,20090812,3,2.15,158.39,0,0.135
4035,20090812,4,2.17,154.24,0,0.12
4036,20090812,5,2.22,150.54,0,0.13
4037,20090812,6,2.25,147.91,0,0.115
4038,20090812,7,2.23,146.64,0,0.115
4039,20090812,8,2.21,146.85,0,0.11
4040,20090812,9,2.29,148.55,0,0.06
4041,20090812,10,2.53,151.56,0,0.03
4042,20090812,11,2.77,156.39,0,0.045
4043,20090812,12,2.86,164.62,0,0.045
4044,20090812,13,2.79,178.43,0,0.015
4045,20090812,14,2.8,194.64,0,0.005
4046,20090812,15,2.94,205.92,0,0.025
4047,20090812,16,3.05,208.1,0,0.035
4048,20090812,17,3.08,204.74,0,0.03
4049,20090812,18,3.06,200.17,0,0.01
4050,20090812,19,3.0,197.72,0,0.005
4051,20090812,20,2.85,197.33,0,0.0
4052,20090812,21,2.59,198.29,0,0.0
4053,20090812,22,2.22,199.89,0,0.01
4054,20090812,23,1.84,200.69,0,0.015
4056,20090812,25,1.66,189.27,0,0.02
4057,20090812,26,1.9,180.16,0,0.05
4058,20090812,27,2.13,172.84,0,0.05
4059,20090812,28,2.22,166.55,0,0.015
4060,20090812,29,2.21,160.4,0,0.0
4061,20090812,30,2.17,154.53,0,0.0
4062,20090812,31,2.16,149.87,0,0.0
4063,20090812,32,2.16,147.39,0,0.0
4064,20090812,33,2.13,147.86,0,0.005
4065,20090812,34,2.06,151.79,0,0.0
4066,20090812,35,1.93,158.28,0,0.0
4067,20090812,36,1.73,166.43,0,0.0
4082,20090812,3,3.3,192.93,12,0.135
4083,20090812,4,3.33,197.46,12,0.12
4084,20090812,5,3.34,200.62,12,0.13
4085,20090812,6,3.42,202.52,12,0.115
4086,20090812,7,3.62,203.25,12,0.115
4087,20090812,8,3.75,203.69,12,0.11
4088,20090812,9,3.53,204.88,12,0.06
4089,20090812,10,2.84,208.18,12,0.03
4090,20090812,11,2.03,213.52,12,0.045
4093,20090812,14,2.05,192.41,12,0.05
4094,20090812,15,2.5,184.39,12,0.05
4095,20090812,16,2.58,177.62,12,0.015
4096,20090812,17,2.39,170.26,12,0.0
4097,20090812,18,2.14,162.85,12,0.0
4098,20090812,19,1.96,158.03,12,0.0
4099,20090812,20,1.84,156.5,12,0.0
4100,20090812,21,1.73,157.52,12,0.005
4122,20090812,43,2.8,28.31,12,0.0
4123,20090812,44,2.96,34.64,12,0.0
4124,20090812,45,3.03,42.29,12,0.01
4125,20090812,46,3.09,49.94,12,0.055
4130,20090813,3,1.93,174.83,0,0.05
4131,20090813,4,2.0,166.94,0,0.015
4132,20090813,5,2.09,160.06,0,0.0
4133,20090813,6,2.2,156.02,0,0.0
4134,20090813,7,2.31,155.59,0,0.0
4135,20090813,8,2.35,157.28,0,0.0
4136,20090813,9,2.27,159.56,0,0.005
4137,20090813,10,2.04,161.52,0,0.0
4138,20090813,11,1.71,163.52,0,0.0
4159,20090813,32,1.86,26.04,0,0.0
4160,20090813,33,2.15,40.88,0,0.01
4161,20090813,34,2.51,50.84,0,0.055
4162,20090813,35,2.8,57.3,0,0.05
4163,20090813,36,2.88,62.67,0,0.005
4164,20090813,37,2.69,68.76,0,0.0
4165,20090813,38,2.36,74.68,0,0.0
4166,20090813,39,2.05,76.54,0,0.0
4167,20090813,40,1.89,69.11,0,0.0
4168,20090813,41,1.94,56.32,0,0.0
4169,20090813,42,2.17,46.7,0,0.005
4170,20090813,43,2.42,43.43,0,0.01
4171,20090813,44,2.6,42.93,0,0.03
4172,20090813,45,2.66,41.81,0,0.045
4173,20090813,46,2.57,38.59,0,0.03
4194,20090813,19,1.7,29.35,12,0.0
4197,20090813,22,1.86,58.24,12,0.055
4198,20090813,23,2.28,57.82,12,0.05
4199,20090813,24,2.55,57.69,12,0.005
4200,20090813,25,2.49,59.81,12,0.0
4201,20090813,26,2.26,62.11,12,0.0
4202,20090813,27,2.08,60.13,12,0.0
4203,20090813,28,2.13,50.62,12,0.0
4204,20090813,29,2.44,39.97,12,0.0
4205,20090813,30,2.81,33.48,12,0.005
4206,20090813,31,3.04,31.62,12,0.01
4207,20090813,32,3.07,32.85,12,0.03
4208,20090813,33,2.91,36.51,12,0.045
4209,20090813,34,2.57,43.2,12,0.03
4210,20090813,35,2.14,56.24,12,0.03
4212,20090813,37,2.08,110.77,12,0.035
4213,20090813,38,2.49,127.31,12,0.04
4214,20090813,39,2.36,130.84,12,0.055
4219,20090813,44,2.85,38.67,12,0.09
4220,20090813,45,3.19,50.19,12,0.14
4221,20090813,46,3.52,51.37,12,0.15
4232,20090814,9,2.54,30.9,0,0.01
4233,20090814,10,2.92,43.66,0,0.055
4234,20090814,11,3.11,55.62,0,0.05
4235,20090814,12,3.08,65.88,0,0.005
4236,20090814,13,2.74,74.14,0,0.0
4237,20090814,14,2.25,80.09,0,0.0
4238,20090814,15,1.81,79.34,0,0.0
4239,20090814,16,1.67,65.5,0,0.0
4240,20090814,17,1.92,47.41,0,0.0
4241,20090814,18,2.38,35.85,0,0.005
4242,20090814,19,2.77,30.48,0,0.01
4243,20090814,20,2.96,28.74,0,0.03
4244,20090814,21,2.88,29.82,0,0.045
4245,20090814,22,2.51,34.6,0,0.03
4246,20090814,23,2.05,46.11,0,0.03
4248,20090814,25,2.0,88.71,0,0.035
4249,20090814,26,2.36,98.6,0,0.04
4250,20090814,27,2.45,97.45,0,0.055
4251,20090814,28,2.15,83.43,0,0.075
4252,20090814,29,2.0,57.55,0,0.09
4253,20090814,30,2.29,37.67,0,0.115
4254,20090814,31,2.66,34.26,0,0.115
4255,20090814,32,2.96,38.98,0,0.09
4256,20090814,33,3.21,45.17,0,0.14
4257,20090814,34,3.4,49.21,0,0.15
4258,20090814,35,3.44,51.07,0,0.175
4259,20090814,36,3.27,51.08,0,0.19
4260,20090814,37,2.87,49.15,0,0.09
4261,20090814,38,2.35,45.31,0,0.03
4262,20090814,39,1.84,40.01,0,0.07
4274,20090814,3,2.06,61.07,12,0.0
4275,20090814,4,2.09,48.41,12,0.0
4276,20090814,5,2.28,35.52,12,0.0
4277,20090814,6,2.63,27.17,12,0.0
4280,20090814,9,3.13,30.37,12,0.01
4281,20090814,10,2.61,39.72,12,0.055
4282,20090814,11,1.97,58.05,12,0.05
4283,20090814,12,1.64,86.16,12,0.005
4284,20090814,13,1.67,108.74,12,0.035
4285,20090814,14,1.71,116.42,12,0.04
4288,20090814,17,2.13,50.18,12,0.09
4289,20090814,18,2.78,41.0,12,0.115
4290,20090814,19,3.08,42.95,12,0.115
4291,20090814,20,3.17,49.09,12,0.09
4292,20090814,21,3.27,53.59,12,0.14
4293,20090814,22,3.48,52.34,12,0.15
4294,20090814,23,3.7,48.58,12,0.175
4295,20090814,24,3.77,46.22,12,0.19
4296,20090814,25,3.58,47.49,12,0.09
4297,20090814,26,3.24,51.34,12,0.03
4298,20090814,27,2.9,55.27,12,0.07
4299,20090814,28,2.66,56.29,12,0.09
4300,20090814,29,2.5,56.04,12,0.115
4301,20090814,30,2.38,58.46,12,0.105
4302,20090814,31,2.28,66.41,12,0.075
4303,20090814,32,2.15,75.33,12,0.06
4304,20090814,33,1.81,78.81,12,0.045
4311,20090814,40,3.12,31.23,12,0.0
4312,20090814,41,3.14,36.83,12,0.01
4313,20090814,42,3.08,39.86,12,0.01
4314,20090814,43,3.03,39.55,12,0.06
4315,20090814,44,3.06,36.93,12,0.18
4316,20090814,45,3.19,33.84,12,0.145
4317,20090814,46,3.41,31.74,12,0.095
4322,20090815,3,2.22,73.65,0,0.055
4323,20090815,4,2.42,61.25,0,0.075
4324,20090815,5,2.72,50.34,0,0.09
4325,20090815,6,2.98,44.74,0,0.115
4326,20090815,7,3.07,45.26,0,0.115
4327,20090815,8,3.09,49.0,0,0.09
4328,20090815,9,3.17,52.34,0,0.14
4329,20090815,10,3.4,52.56,0,0.15
4330,20090815,11,3.66,51.08,0,0.175
4331,20090815,12,3.83,49.84,0,0.19
4332,20090815,13,3.82,50.05,0,0.09
4333,20090815,14,3.7,52.15,0,0.03
4334,20090815,15,3.59,56.49,0,0.07
4335,20090815,16,3.62,62.63,0,0.09
4336,20090815,17,3.73,68.55,0,0.115
4337,20090815,18,3.79,72.59,0,0.105
4338,20090815,19,3.66,74.2,0,0.075
4339,20090815,20,3.33,74.73,0,0.06
4340,20090815,21,2.8,76.22,0,0.045
4341,20090815,22,2.13,81.57,0,0.045
4346,20090815,27,1.69,53.48,0,0.0
4347,20090815,28,2.14,45.06,0,0.0
4348,20090815,29,2.51,40.46,0,0.01
4349,20090815,30,2.77,38.79,0,0.01
4350,20090815,31,2.9,39.72,0,0.06
4351,20090815,32,2.98,42.11,0,0.18
4352,20090815,33,3.1,44.63,0,0.145
4353,20090815,34,3.33,46.07,0,0.095
4354,20090815,35,3.53,46.3,0,0.085
4355,20090815,36,3.58,45.43,0,0.08
4356,20090815,37,3.39,43.63,0,0.045
4357,20090815,38,3.12,42.53,0,0.0
4358,20090815,39,2.99,44.98,0,0.025
4359,20090815,40,3.19,51.81,0,0.035
4360,20090815,41,3.68,56.97,0,0.085
4361,20090815,42,4.28,56.35,0,0.095
4362,20090815,43,4.83,49.91,0,0.095
4363,20090815,44,5.2,41.88,0,0.14
4364,20090815,45,5.13,34.96,0,0.115
4365,20090815,46,4.38,29.75,0,0.075
4370,20090815,3,3.61,65.49,12,0.055
4371,20090815,4,3.74,66.63,12,0.075
4372,20090815,5,3.78,67.64,12,0.09
4373,20090815,6,3.66,70.79,12,0.115
4374,20090815,7,3.36,78.09,12,0.115
4375,20090815,8,2.99,87.75,12,0.09
4376,20090815,9,2.57,95.38,12,0.14
4377,20090815,10,2.01,95.34,12,0.15
4383,20090815,16,1.88,66.71,12,0.0
4384,20090815,17,2.35,59.6,12,0.01
4385,20090815,18,2.73,54.7,12,0.01
4386,20090815,19,2.9,52.1,12,0.06
4387,20090815,20,2.95,49.84,12,0.18
4388,20090815,21,3.01,46.31,12,0.145
4389,20090815,22,3.21,41.03,12,0.095
4390,20090815,23,3.5,35.61,12,0.085
4391,20090815,24,3.74,31.08,12,0.08
4392,20090815,25,3.85,27.92,12,0.045
4393,20090815,26,3.85,27.39,12,0.0
4394,20090815,27,3.8,31.43,12,0.025
4395,20090815,28,3.86,40.71,12,0.035
4396,20090815,29,4.15,49.92,12,0.085
4397,20090815,30,4.58,53.46,12,0.095
4398,20090815,31,4.99,49.83,12,0.095
4399,20090815,32,5.25,43.23,12,0.14
4400,20090815,33,5.11,37.05,12,0.115
4401,20090815,34,4.39,32.64,12,0.075
4402,20090815,35,3.42,28.94,12,0.065
4411,20090815,44,3.13,28.45,12,0.401
4412,20090815,45,3.23,33.02,12,0.371
4413,20090815,46,3.58,36.71,12,0.256
4418,20090816,3,2.36,66.69,0,0.0
4419,20090816,4,2.46,64.9,0,0.0
4420,20090816,5,2.45,61.33,0,0.01
4421,20090816,6,2.43,58.67,0,0.01
4422,20090816,7,2.47,58.92,0,0.06
4423,20090816,8,2.57,59.7,0,0.18
4424,20090816,9,2.7,57.87,0,0.145
4425,20090816,10,2.85,51.92,0,0.095
4426,20090816,11,3.03,44.61,0,0.085
4427,20090816,12,3.18,38.84,0,0.08
4428,20090816,13,3.23,36.14,0,0.045
4429,20090816,14,3.23,36.32,0,0.0
4430,20090816,15,3.29,39.07,0,0.025
4431,20090816,16,3.49,43.43,0,0.035
4432,20090816,17,3.85,47.16,0,0.085
4433,20090816,18,4.29,48.6,0,0.095
4434,20090816,19,4.73,47.42,0,0.095
4435,20090816,20,4.98,44.99,0,0.14
4436,20090816,21,4.82,42.23,0,0.115
4437,20090816,22,4.12,39.23,0,0.075
4438,20090816,23,3.21,35.51,0,0.065
4440,20090816,25,2.37,31.15,0,0.226
4441,20090816,26,2.58,33.09,0,0.29600000000000004
4442,20090816,27,2.88,34.78,0,0.361
4443,20090816,28,3.02,35.05,0,0.436
4444,20090816,29,3.02,34.86,0,0.491
4445,20090816,30,2.91,35.47,0,0.501
4446,20090816,31,2.78,37.68,0,0.496
4447,20090816,32,2.75,39.55,0,0.401
4448,20090816,33,2.96,38.18,0,0.371
4449,20090816,34,3.51,33.49,0,0.256
4450,20090816,35,4.22,30.01,0,0.18
4451,20090816,36,4.78,30.1,0,0.125
4452,20090816,37,5.02,34.58,0,0.09
4453,20090816,38,5.18,42.39,0,0.316
4454,20090816,39,5.61,51.05,0,0.441
4455,20090816,40,6.43,57.32,0,0.386
4456,20090816,41,7.21,60.03,0,0.221
4457,20090816,42,7.44,59.35,0,0.236
4458,20090816,43,6.82,54.85,0,0.261
4459,20090816,44,5.82,46.99,0,0.311
4460,20090816,45,4.99,38.47,0,0.361
4461,20090816,46,4.54,34.97,0,0.246
4466,20090816,3,2.76,50.59,12,0.0
4467,20090816,4,3.12,53.01,12,0.0
4468,20090816,5,3.64,53.61,12,0.01
4469,20090816,6,4.26,52.45,12,0.01
4470,20090816,7,4.91,49.97,12,0.06
4471,20090816,8,5.34,47.03,12,0.18
4472,20090816,9,5.27,43.74,12,0.145
4473,20090816,10,4.54,39.34,12,0.095
4474,20090816,11,3.56,32.76,12,0.085
4478,20090816,15,3.15,26.86,12,0.361
4479,20090816,16,3.36,30.18,12,0.436
4480,20090816,17,3.44,32.65,12,0.491
4481,20090816,18,3.44,33.97,12,0.501
4482,20090816,19,3.4,33.97,12,0.496
4483,20090816,20,3.44,33.72,12,0.401
4484,20090816,21,3.68,34.58,12,0.371
4485,20090816,22,4.18,37.09,12,0.256
4486,20090816,23,4.77,40.43,12,0.18
4487,20090816,24,5.21,44.31,12,0.125
4488,20090816,25,5.34,48.94,12,0.09
4489,20090816,26,5.27,53.61,12,0.316
4490,20090816,27,5.17,56.79,12,0.441
4491,20090816,28,5.14,57.1,12,0.386
4492,20090816,29,5.17,55.91,12,0.221
4493,20090816,30,5.22,55.38,12,0.236
4494,20090816,31,5.25,56.95,12,0.261
4495,20090816,32,5.13,59.65,12,0.311
4496,20090816,33,4.68,62.24,12,0.361
4497,20090816,34,3.81,63.78,12,0.246
4498,20090816,35,2.79,63.89,12,0.19
4500,20090816,37,1.65,54.4,12,0.261
4501,20090816,38,1.71,46.43,12,0.276
4502,20090816,39,1.96,39.65,12,0.386
4503,20090816,40,2.23,33.65,12,0.366
4504,20090816,41,2.54,29.62,12,0.371
4505,20090816,42,2.94,28.86,12,0.336
4506,20090816,43,3.46,31.2,12,0.431
4507,20090816,44,4.08,34.04,12,0.371
4508,20090816,45,4.77,35.62,12,0.391
4509,20090816,46,5.45,35.52,12,0.361
4517,20090817,6,3.32,28.22,0,0.501
4518,20090817,7,3.22,32.69,0,0.496
4519,20090817,8,3.17,37.94,0,0.401
4520,20090817,9,3.39,41.27,0,0.371
4521,20090817,10,3.98,41.34,0,0.256
4522,20090817,11,4.75,41.8,0,0.18
4523,20090817,12,5.43,45.51,0,0.125
4524,20090817,13,5.92,53.35,0,0.09
4525,20090817,14,6.23,62.0,0,0.316
4526,20090817,15,6.25,68.19,0,0.441
4527,20090817,16,5.81,69.85,0,0.386
4528,20090817,17,5.18,67.42,0,0.221
4529,20090817,18,4.79,62.06,0,0.236
4530,20090817,19,4.91,56.86,0,0.261
4531,20090817,20,5.19,53.78,0,0.311
4532,20090817,21,5.11,52.73,0,0.361
4533,20090817,22,4.35,53.34,0,0.246
4534,20090817,23,3.27,54.85,0,0.19
4536,20090817,25,2.09,49.29,0,0.261
4537,20090817,26,2.28,42.8,0,0.276
4538,20090817,27,2.64,41.27,0,0.386
4539,20090817,28,2.9,45.02,0,0.366
4540,20090817,29,3.08,50.87,0,0.371
4541,20090817,30,3.22,55.81,0,0.336
4542,20090817,31,3.32,57.72,0,0.431
4543,20090817,32,3.43,56.36,0,0.371
4544,20090817,33,3.67,52.11,0,0.391
4545,20090817,34,4.14,46.42,0,0.361
4546,20090817,35,4.79,42.02,0,0.316
4547,20090817,36,5.53,40.39,0,0.35600000000000004
4548,20090817,37,6.25,41.59,0,0.261
4549,20090817,38,6.88,44.31,0,0.29100000000000004
4550,20090817,39,7.36,47.57,0,0.281
4551,20090817,40,7.63,50.93,0,0.211
4552,20090817,41,7.73,54.57,0,0.28600000000000003
4553,20090817,42,7.69,58.76,0,0.21600000000000005
4554,20090817,43,7.55,63.49,0,0.416
4555,20090817,44,7.26,67.87,0,0.622
4556,20090817,45,6.71,70.81,0,0.602
4557,20090817,46,5.84,71.15,0,0.541
4562,20090817,3,6.35,61.17,12,0.361
4563,20090817,4,6.29,64.6,12,0.436
4564,20090817,5,6.11,66.34,12,0.491
4565,20090817,6,5.93,65.06,12,0.501
4566,20090817,7,5.89,60.08,12,0.496
4567,20090817,8,5.86,53.95,12,0.401
4568,20090817,9,5.56,49.34,12,0.371
4569,20090817,10,4.77,47.93,12,0.256
4570,20090817,11,3.75,49.46,12,0.18
4571,20090817,12,2.92,52.98,12,0.125
4572,20090817,13,2.58,55.2,12,0.261
