"hors","ws","wd","anno","mes","dia","horsObs","wp1"
13,3.79,18.43,2009,7,17,0,0.035
23,2.82,141.46,2009,7,17,0,0.01
28,2.13,126.28,2009,7,17,0,0.175
46,6.52,103.89,2009,7,17,0,0.381
19,3,121.18,2009,7,17,12,0.07
23,4.89,105.41,2009,7,17,12,0.1
25,5.65,106.12,2009,7,17,12,0.09
29,6.56,103.3,2009,7,17,12,0.256
43,3.74,89.69,2009,7,17,12,0.291
29,3.3,92.82,2009,7,18,0,0.206
30,3.33,92,2009,7,18,0,0.246
1,6.02,106.54,2009,7,18,12,0.03
4,6.34,108.98,2009,7,18,12,0.175
10,5.92,99.13,2009,7,18,12,0.055
20,2.99,90.27,2009,7,18,12,0.311
30,3.91,99.23,2009,7,18,12,0.095
32,4.41,94.81,2009,7,18,12,0.105
9,4.12,97.15,2009,7,19,0,0.256
10,4.78,100.22,2009,7,19,0,0.276
15,4.75,108.95,2009,7,19,0,0.271
17,4.28,104.14,2009,7,19,0,0.125
22,3.55,107.89,2009,7,19,0,0.055
26,2.63,126.01,2009,7,19,0,0.055
19,1.37,74.43,2009,7,19,12,0
38,1.65,315.87,2009,7,19,12,0.02
40,2.23,324.4,2009,7,19,12,0.03
45,2.61,324.61,2009,7,19,12,0.05
1,2.53,145.25,2009,7,20,0,0.03
10,0.73,70.23,2009,7,20,0,0
20,1.35,354.17,2009,7,20,0,0.01
21,1.4,345.76,2009,7,20,0,0.015
35,3.12,295.63,2009,7,20,0,0.18
6,1.37,13.84,2009,7,20,12,0
15,1.35,281.09,2009,7,20,12,0.03
4,2.81,350.6,2009,7,21,0,0.03
9,2.27,311.98,2009,7,21,0,0.05
17,3.12,301.18,2009,7,21,0,0.06
19,3.21,306.51,2009,7,21,0,0.01
20,3.27,307.03,2009,7,21,0,0.065
22,3.23,311.66,2009,7,21,0,0.1
27,2.45,290.39,2009,7,21,0,0.155
29,2.49,281.65,2009,7,21,0,0.13
31,2.31,284.2,2009,7,21,0,0.115
32,2.22,287.8,2009,7,21,0,0.085
41,3.93,329.68,2009,7,21,0,0.13
43,3.52,348.36,2009,7,21,0,0.16
13,2.35,321.43,2009,7,21,12,0.045
14,2.59,324.18,2009,7,21,12,0.075
30,3.81,325.7,2009,7,21,12,0.13
45,2.15,356.1,2009,7,21,12,0.04
46,2.36,357.38,2009,7,21,12,0.055
4,2.47,309.64,2009,7,22,0,0.135
6,2.71,293.07,2009,7,22,0,0.115
25,1.33,328.28,2009,7,22,0,0.08
29,1.9,322.34,2009,7,22,0,0.19
39,4.38,275.9,2009,7,22,0,0.17
41,4.62,281.98,2009,7,22,0,0.05
8,4.39,326.95,2009,7,22,12,0.085
9,4.1,333.65,2009,7,22,12,0.11
28,2.1,90.6,2009,7,23,0,0
40,1.73,76.8,2009,7,23,0,0.06
43,1.74,79.31,2009,7,23,0,0.125
28,3.1,87.23,2009,7,23,12,0.06
41,2.77,23.37,2009,7,23,12,0.025
14,3.08,106.75,2009,7,24,0,0.045
26,2.18,26.1,2009,7,24,0,0.03
45,7.38,358.78,2009,7,24,0,0
1,3.78,109.76,2009,7,24,12,0.01
2,3.85,114.22,2009,7,24,12,0.005
3,3.58,117.21,2009,7,24,12,0
4,3.11,119.06,2009,7,24,12,0
6,2.48,111.63,2009,7,24,12,0.02
17,2.72,29.89,2009,7,24,12,0.025
26,5.05,346.25,2009,7,24,12,0.231
38,3.59,43.46,2009,7,24,12,0.055
39,3.26,50.98,2009,7,24,12,0.13
43,2.54,44.79,2009,7,24,12,0.311
11,4.23,1.94,2009,7,25,0,0.371
13,5.28,6.34,2009,7,25,0,0.221
14,5.42,3.97,2009,7,25,0,0.231
30,2.4,27.8,2009,7,25,0,0.18
31,2.47,27.48,2009,7,25,0,0.311
39,6.24,36.92,2009,7,25,0,0.145
46,4.87,58.51,2009,7,25,0,0.055
8,6.47,352.07,2009,7,25,12,0.075
20,2.89,52.31,2009,7,25,12,0.261
28,6.04,43.62,2009,7,25,12,0.165
31,5.57,54.88,2009,7,25,12,0.17
32,5.31,60.8,2009,7,25,12,0.17
35,3.71,61.78,2009,7,25,12,0.04
37,2.83,47.94,2009,7,25,12,0.005
39,2.96,44.04,2009,7,25,12,0.025
2,3.9,54.74,2009,7,26,0,0.055
11,3.99,38.6,2009,7,26,0,0.08
32,2.75,56.8,2009,7,26,0,0.09
16,2.63,52.28,2009,7,26,12,0.055
19,3.05,59.65,2009,7,26,12,0.06
27,5.8,78.94,2009,7,26,12,0.316
30,5.84,88.65,2009,7,26,12,0.251
10,4.77,81.63,2009,7,27,0,0.095
12,5.66,80.9,2009,7,27,0,0.1
32,2.48,47,2009,7,27,0,0.311
42,7.63,38.96,2009,7,27,0,0.827
9,6.17,78.89,2009,7,27,12,0.135
36,5.11,51.18,2009,7,27,12,0.201
43,2.58,61.42,2009,7,27,12,0.11
16,8.33,37.79,2009,7,28,0,0.762
22,6.46,51.19,2009,7,28,0,0.486
36,2.97,41.47,2009,7,28,0,0.256
38,2.23,65.36,2009,7,28,0,0.04
31,3.28,74.03,2009,7,28,12,0.035
39,2.43,143.86,2009,7,28,12,0
40,2.56,129.17,2009,7,28,12,0.015
45,2.86,109.24,2009,7,28,12,0.055
24,2.45,162.87,2009,7,29,0,0.306
27,2.64,139.09,2009,7,29,0,0
29,2.99,117.51,2009,7,29,0,0.065
43,4.43,59.8,2009,7,29,0,0.155
47,1.76,38,2009,7,29,0,0.04
8,4.47,113.59,2009,7,29,12,0.085
10,3.75,141.4,2009,7,29,12,0.216
28,3.81,66.84,2009,7,29,12,0.08
29,4.29,66.14,2009,7,29,12,0.18
40,2.1,2.43,2009,7,29,12,0
41,2.75,10.17,2009,7,29,12,0
22,2.94,72.75,2009,7,30,0,0.06
29,2.53,41.66,2009,7,30,0,0
41,5.79,74.2,2009,7,30,0,0.14
42,6.06,79.25,2009,7,30,0,0.185
28,5.06,65.43,2009,7,30,12,0.095
39,2.29,122.45,2009,7,30,12,0.085
19,5.46,91.65,2009,7,31,0,0.246
28,2.73,98.19,2009,7,31,0,0.015
29,2.55,83.34,2009,7,31,0,0
40,6.08,21.91,2009,7,31,0,0.351
41,6.73,24.83,2009,7,31,0,0.286
43,7.06,26.48,2009,7,31,0,0.326
6,5.32,91.63,2009,7,31,12,0
13,2.07,123.74,2009,7,31,12,0.065
27,6.3,30.41,2009,7,31,12,0.311
10,3.22,39.01,2009,8,1,0,0.155
16,6.69,37.73,2009,8,1,0,0.351
19,6.68,35.69,2009,8,1,0,0.326
34,4.89,56.8,2009,8,1,0,0.216
11,4.42,27.1,2009,8,1,12,0.311
32,5.8,112.64,2009,8,1,12,0.586
35,3.24,107.71,2009,8,1,12,0.486
6,3.05,38.83,2009,8,2,0,0.075
41,6.22,23.19,2009,8,2,0,0.501
2,4.6,95.79,2009,8,2,12,0.331
11,3.69,105.89,2009,8,2,12,0.17
16,3.07,57.76,2009,8,2,12,0.361
29,5.92,18.6,2009,8,2,12,0.501
45,5.3,54.51,2009,8,2,12,0.451
6,2.99,60.74,2009,8,3,0,0.416
23,5.31,39.28,2009,8,3,0,0.727
37,6.43,54.63,2009,8,3,0,0.271
9,7.72,30.9,2009,8,3,12,0.14
24,6.58,55.16,2009,8,3,12,0.306
48,4,108.99,2009,8,3,12,0.165
11,5.09,42.26,2009,8,4,0,0.306
18,6.9,67.13,2009,8,4,0,0.316
23,4.24,119.81,2009,8,4,0,0.306
33,3.24,115.39,2009,8,4,0,0.14
37,5.6,124.34,2009,8,4,0,0.105
43,5.96,113.59,2009,8,4,0,0.316
44,6.19,115.05,2009,8,4,0,0.316
5,6.68,64.47,2009,8,4,12,0.687
7,6.92,71.8,2009,8,4,12,0.551
10,6.35,89.42,2009,8,4,12,0.331
26,5.23,126.51,2009,8,4,12,0.185
27,5.34,128.87,2009,8,4,12,0.246
31,6.6,117.61,2009,8,4,12,0.316
36,2.25,129.31,2009,8,4,12,0.421
39,2.83,102.41,2009,8,4,12,0.065
40,3.05,101.03,2009,8,4,12,0.02
43,2.62,108.1,2009,8,4,12,0.12
10,3.38,111.45,2009,8,5,0,0.105
21,6.04,118.08,2009,8,5,0,0.336
31,2.82,89.87,2009,8,5,0,0.12
37,5.14,108.11,2009,8,5,0,0.05
4,6.01,117.94,2009,8,5,12,0.281
16,3.06,101.83,2009,8,5,12,0.02
24,3.7,94.9,2009,8,5,12,0.07
45,2.89,112.16,2009,8,5,12,0.251
5,2.98,86.29,2009,8,6,0,0.02
12,4.55,102.05,2009,8,6,0,0.07
27,3.04,96.53,2009,8,6,0,0.231
32,2.85,106.35,2009,8,6,0,0.341
36,4.44,121.04,2009,8,6,0,0.085
48,1.61,141.4,2009,8,6,0,0.231
15,3.12,96.27,2009,8,6,12,0.231
20,2.77,106.72,2009,8,6,12,0.341
22,3.17,114.31,2009,8,6,12,0.195
28,3.85,142.22,2009,8,6,12,0.005
42,1.16,285.79,2009,8,6,12,0
6,2.93,106.4,2009,8,7,0,0.386
26,0.92,205.58,2009,8,7,0,0
41,6.27,340.48,2009,8,7,0,0.261
8,2.93,119.36,2009,8,7,12,0.341
12,2.03,150.65,2009,8,7,12,0.085
14,1.5,205.06,2009,8,7,12,0
20,2.35,357.38,2009,8,7,12,0
21,2.59,356.9,2009,8,7,12,0
27,4.25,344.9,2009,8,7,12,0.08
29,5.4,3.1,2009,8,7,12,0.261
32,5.56,348.05,2009,8,7,12,0.436
40,3.68,347.48,2009,8,7,12,0.216
10,1.94,356.58,2009,8,8,0,0
22,4.17,348.77,2009,8,8,0,0.17
30,2.97,21.44,2009,8,8,0,0.1
38,5.94,47.68,2009,8,8,0,0.155
3,3.34,350.1,2009,8,8,12,0
10,6.22,354.48,2009,8,8,12,0
13,4.85,330.2,2009,8,8,12,0.216
17,4.34,328.57,2009,8,8,12,0.13
18,3.94,330.54,2009,8,8,12,0.1
30,5.41,58.06,2009,8,8,12,0.627
42,3.68,115.22,2009,8,8,12,0.251
4,3.95,341.97,2009,8,9,0,0.216
13,3.76,50.33,2009,8,9,0,0.13
17,6.61,67.79,2009,8,9,0,0.356
34,3.67,100.87,2009,8,9,0,0.1
42,3.95,83.31,2009,8,9,0,0.13
6,5.26,75.8,2009,8,9,12,0.1
18,4.81,93.32,2009,8,9,12,0.251
21,3.94,93.24,2009,8,9,12,0.1
28,1.78,101.4,2009,8,9,12,0.09
29,2.52,87.61,2009,8,9,12,0.12
35,1.77,129.94,2009,8,9,12,0.045
40,1.24,99.11,2009,8,9,12,0.09
1,6.13,79.26,2009,8,10,0,0.211
9,4.26,97.37,2009,8,10,0,0.1
16,3.57,102.64,2009,8,10,0,0.09
18,3.98,104.92,2009,8,10,0,0.13
40,4.29,128.59,2009,8,10,0,0
42,4.4,121.89,2009,8,10,0,0.06
18,2.18,103.14,2009,8,10,12,0.13
24,2.97,108.54,2009,8,10,12,0.02
25,3.29,116.35,2009,8,10,12,0.03
10,2.64,112.63,2009,8,11,0,0.05
19,3.76,131.38,2009,8,11,0,0.065
25,2.17,162.29,2009,8,11,0,0.03
27,2.47,149.44,2009,8,11,0,0.135
31,2.54,148.24,2009,8,11,0,0.115
36,2.95,157.94,2009,8,11,0,0.045
43,2.82,189.89,2009,8,11,0,0.005
45,2.91,187.75,2009,8,11,0,0
47,2.1,195.2,2009,8,11,0,0.015
4,3.69,115.38,2009,8,11,12,0.09
22,2.46,160.84,2009,8,11,12,0.03
30,2.67,186.93,2009,8,11,12,0.01
34,2.56,190.18,2009,8,11,12,0.01
36,1.76,199.3,2009,8,11,12,0.06
42,1.02,123.94,2009,8,11,12,0
10,2.53,151.56,2009,8,12,0,0.03
16,3.05,208.1,2009,8,12,0,0.035
22,2.22,199.89,2009,8,12,0,0.01
35,1.93,158.28,2009,8,12,0,0
39,0.83,198.84,2009,8,12,0,0
43,0.42,126.13,2009,8,12,0,0
4,3.33,197.46,2009,8,12,12,0.12
29,0.6,257.74,2009,8,12,12,0
34,0.82,289.75,2009,8,12,12,0
46,3.09,49.94,2009,8,12,12,0.055
9,2.27,159.56,2009,8,13,0,0.005
11,1.71,163.52,2009,8,13,0,0
21,0.62,194.66,2009,8,13,0,0
24,1.38,246.75,2009,8,13,0,0.025
26,1.47,213.52,2009,8,13,0,0.005
41,1.94,56.32,2009,8,13,0,0
7,0.26,159.4,2009,8,13,12,0
14,1.32,254.39,2009,8,13,12,0.005
20,1.55,41.65,2009,8,13,12,0
43,2.61,23.59,2009,8,13,12,0.115
47,3.69,47.61,2009,8,13,12,0.175
33,3.21,45.17,2009,8,14,0,0.14
39,1.84,40.01,2009,8,14,0,0.07
43,1.26,29.12,2009,8,14,0,0.075
45,1.41,35.5,2009,8,14,0,0.045
15,3.59,56.49,2009,8,15,0,0.07
29,2.51,40.46,2009,8,15,0,0.01
39,2.99,44.98,2009,8,15,0,0.025
47,3.34,24.92,2009,8,15,0,0.065
7,3.36,78.09,2009,8,15,12,0.115
17,2.35,59.6,2009,8,15,12,0.01
32,5.25,43.23,2009,8,15,12,0.14
4,2.46,64.9,2009,8,16,0,0
6,2.43,58.67,2009,8,16,0,0.01
48,6.52,34.71,2009,8,16,12,0.356
6,3.32,28.22,2009,8,17,0,0.501
24,2.38,54.91,2009,8,17,0,0.145
28,2.9,45.02,2009,8,17,0,0.366
43,7.55,63.49,2009,8,17,0,0.416
20,4.22,37.16,2009,8,17,12,0.371
33,5,86.52,2009,8,17,12,0.602
44,2.64,118.58,2009,8,17,12,0.035
5,3.33,48.85,2009,8,18,0,0.371
44,3.08,92.84,2009,8,18,0,0
10,5.3,91.12,2009,8,18,12,0.361
15,2.87,81.34,2009,8,18,12,0.316
17,2.34,118.95,2009,8,18,12,0.085
32,3.16,86.44,2009,8,18,12,0
35,2.17,98.42,2009,8,18,12,0
40,1.38,213.15,2009,8,18,12,0.095
5,2.11,132.36,2009,8,19,0,0.085
19,2.23,93.5,2009,8,19,0,0.015
32,3.25,338.27,2009,8,19,0,0.281
34,3.36,333.1,2009,8,19,0,0.321
48,5.96,27.25,2009,8,19,0,0
6,2.74,107.43,2009,8,19,12,0.06
35,6.18,15.3,2009,8,19,12,0.391
36,6.26,15.43,2009,8,19,12,0
43,5.02,44.13,2009,8,19,12,0.261
44,4.59,45,2009,8,19,12,0.241
45,4.27,43.35,2009,8,19,12,0.226
2,2.33,340.48,2009,8,20,0,0.02
9,3.33,336.68,2009,8,20,0,0.321
21,7.41,23.07,2009,8,20,0,0.516
35,3.29,25.63,2009,8,20,0,0.261
36,4.12,21.04,2009,8,20,0,0.251
48,3.64,69.47,2009,8,20,0,0.436
1,5.7,29.01,2009,8,20,12,0
8,8.77,19.63,2009,8,20,12,0.281
9,9.18,22.52,2009,8,20,12,0.321
14,6.06,23.57,2009,8,20,12,0.256
30,7.13,35.18,2009,8,20,12,0.762
48,3.01,117.15,2009,8,20,12,0
19,8.39,38.44,2009,8,21,0,0.662
23,4.68,49.53,2009,8,21,0,0.466
26,3.11,54.8,2009,8,21,0,0.221
38,4.04,78.82,2009,8,21,0,0
44,2.58,101.95,2009,8,21,0,0.03
12,3.47,52.84,2009,8,21,12,0.251
21,2.07,86.37,2009,8,21,12,0.035
32,2.28,124.5,2009,8,21,12,0.03
34,2.31,159.68,2009,8,21,12,0.135
41,2.36,183.14,2009,8,21,12,0.13
32,2.12,164.2,2009,8,22,0,0.12
33,2.42,171.26,2009,8,22,0,0.095
9,3.71,184.58,2009,8,22,12,0.035
34,4.1,163.54,2009,8,22,12,0.05
7,3.21,185.61,2009,8,23,0,0.105
31,2.4,116.78,2009,8,23,0,0.105
35,2.89,120.17,2009,8,23,0,0.045
47,2.43,144.76,2009,8,23,0,0
9,4.63,169.73,2009,8,23,12,0.095
23,2.98,112.92,2009,8,23,12,0.045
30,1.8,95.4,2009,8,23,12,0
38,1.66,123.24,2009,8,23,12,0
39,1.57,101.13,2009,8,23,12,0
40,1.83,70.79,2009,8,23,12,0
6,2.31,131.02,2009,8,24,0,0.115
17,2.02,116.81,2009,8,24,0,0.02
29,2.17,47.43,2009,8,24,0,0
38,5.32,48.54,2009,8,24,0,0.281
39,5.77,49.41,2009,8,24,0,0.446
44,7.16,49.85,2009,8,24,0,0.561
4,2.8,137.09,2009,8,24,12,0.07
17,2.42,51.27,2009,8,24,12,0
38,3.61,67.24,2009,8,24,12,0.491
44,3.67,125.97,2009,8,24,12,0.211
46,3.42,130.39,2009,8,24,12,0.17
7,2.85,50.38,2009,8,25,0,0.1
8,2.83,49.58,2009,8,25,0,0.321
9,2.88,47.85,2009,8,25,0,0.321
10,3.17,44.28,2009,8,25,0,0.301
14,5.54,51.56,2009,8,25,0,0.281
36,3.76,117.76,2009,8,25,0,0.1
2,5.96,55.73,2009,8,25,12,0
22,3.16,113.74,2009,8,25,12,0.17
23,3.51,123.77,2009,8,25,12,0.065
6,4,94.92,2009,8,26,0,0.271
8,4.1,100.67,2009,8,26,0,0.211
26,2.39,169.25,2009,8,26,0,0.14
9,4.44,168.05,2009,8,26,12,0.195
18,3.03,200.29,2009,8,26,12,0.105
27,3.03,255.42,2009,8,26,12,0
33,1.67,244.06,2009,8,26,12,0
6,2.95,216.86,2009,8,27,0,0.105
24,1.69,254.57,2009,8,27,0,0.05
26,5.08,295.88,2009,8,27,12,0.195
40,5.36,293.89,2009,8,27,12,0.516
48,4.48,19.94,2009,8,27,12,0.005
4,1.29,229.44,2009,8,28,0,0.005
7,1.51,260.87,2009,8,28,0,0.01
18,6.12,300.44,2009,8,28,0,0.291
30,5.46,270.88,2009,8,28,0,0.356
34,4.64,270.25,2009,8,28,0,0.075
10,4.79,285.27,2009,8,28,12,0.115
11,5.15,280.56,2009,8,28,12,0.216
1,5.04,287.99,2009,8,29,0,0.456
5,5.31,270.09,2009,8,29,0,0.391
11,3.07,227.84,2009,8,29,0,0.02
33,4.47,105.37,2009,8,29,0,0.08
35,5.29,114.04,2009,8,29,0,0.07
40,7.14,144.92,2009,8,29,0,0.216
6,6.99,74.95,2009,8,29,12,0.356
10,6.89,75.99,2009,8,29,12,0.075
13,4.9,83.06,2009,8,29,12,0.622
38,2.6,108.19,2009,8,29,12,0.02
43,2.97,82.99,2009,8,29,12,0
45,3.08,87.8,2009,8,29,12,0
19,6.64,142.92,2009,8,30,0,0.436
10,5.61,150.11,2009,8,30,12,0.095
13,2.53,153.05,2009,8,30,12,0.04
29,2.93,167.78,2009,8,30,12,0.035
34,3.11,174.19,2009,8,30,12,0.005
42,1.74,114.39,2009,8,30,12,0
20,3.2,146.54,2009,8,31,0,0
33,2.34,106.22,2009,8,31,0,0.035
37,1.52,101,2009,8,31,0,0.015
38,1.39,115.41,2009,8,31,0,0
39,1.35,128.07,2009,8,31,0,0
5,3.03,156.12,2009,8,31,12,0.045
13,2.9,169.72,2009,8,31,12,0
16,2.82,124.3,2009,8,31,12,0
21,3.18,105.89,2009,8,31,12,0.035
29,1.88,119.38,2009,8,31,12,0
33,2.41,113.88,2009,8,31,12,0
2,3.12,149.59,2009,9,1,0,0
16,1.77,130.93,2009,9,1,0,0
23,2.53,145.45,2009,9,1,0,0
4,1.37,128.4,2009,9,1,12,0
6,1.44,121.89,2009,9,1,12,0
23,1.29,90.96,2009,9,1,12,0
31,0.66,86.76,2009,9,1,12,0
16,1.04,38.96,2009,9,2,0,0
31,1.32,113.2,2009,9,2,0,0
35,1.6,99.09,2009,9,2,0,0
39,0.74,128,2009,9,2,0,0
40,0.56,134.78,2009,9,2,0,0
44,0.99,73.72,2009,9,2,0,0
1,0.51,136.24,2009,9,2,12,0
16,1.67,168.86,2009,9,2,12,0
31,1.05,126.17,2009,9,2,12,0
33,1.25,139.1,2009,9,2,12,0
45,3.07,117.88,2009,9,2,12,0.005
17,0.6,135.51,2009,9,3,0,0
22,1.83,160.2,2009,9,3,0,0
27,2.56,152.5,2009,9,3,0,0.045
33,2.88,125.41,2009,9,3,0,0.005
37,2.06,126.12,2009,9,3,0,0.055
43,1.89,159.72,2009,9,3,0,0
46,2.18,170.79,2009,9,3,0,0
8,0.54,123.12,2009,9,3,12,0
22,1.97,138.42,2009,9,3,12,0.02
23,1.95,133.11,2009,9,3,12,0.035
27,2.34,159.74,2009,9,3,12,0
8,2.51,133.77,2009,9,4,0,0.005
12,2.33,132,2009,9,4,0,0.04
15,2.1,149.31,2009,9,4,0,0
20,2.35,168.55,2009,9,4,0,0
27,2.45,155.55,2009,9,4,0,0.01
47,2.16,246.1,2009,9,4,0,0.025
5,2.14,163.33,2009,9,4,12,0
33,2.06,223.65,2009,9,4,12,0.02
19,2.08,216.88,2009,9,5,0,0.005
