,date,hors,ws,wd,anno,mes,dia,horsObs,wp1
82,20090701,35,3.18,141.23,2009,7,1,12,0.08
84,20090701,37,2.5,138.64,2009,7,1,12,0.12
85,20090701,38,2.38,125.31,2009,7,1,12,0.035
86,20090701,39,2.45,111.98,2009,7,1,12,0.05
87,20090701,40,2.54,103.99,2009,7,1,12,0.08
88,20090701,41,2.54,100.17,2009,7,1,12,0.065
89,20090701,42,2.45,98.76,2009,7,1,12,0.14
90,20090701,43,2.3,98.6,2009,7,1,12,0.08
91,20090701,44,2.32,99.0,2009,7,1,12,0.055
92,20090701,45,2.74,99.14,2009,7,1,12,0.025
93,20090701,46,3.7,98.82,2009,7,1,12,0.04
94,20090701,47,4.84,98.94,2009,7,1,12,0.1
95,20090701,48,5.7,99.9,2009,7,1,12,0.175
96,20090702,1,1.27,147.93,2009,7,2,0,0.0
97,20090702,2,1.59,163.36,2009,7,2,0,0.01
98,20090702,3,1.46,175.48,2009,7,2,0,0.01
99,20090702,4,1.1,194.13,2009,7,2,0,0.0
100,20090702,5,0.81,223.94,2009,7,2,0,0.0
101,20090702,6,0.68,246.61,2009,7,2,0,0.0
102,20090702,7,0.49,231.76,2009,7,2,0,0.0
103,20090702,8,0.57,184.5,2009,7,2,0,0.0
104,20090702,9,0.88,172.7,2009,7,2,0,0.015
105,20090702,10,1.08,185.05,2009,7,2,0,0.03
106,20090702,11,1.28,199.95,2009,7,2,0,0.01
107,20090702,12,1.44,203.82,2009,7,2,0,0.0
108,20090702,13,1.51,191.55,2009,7,2,0,0.0
109,20090702,14,1.67,171.57,2009,7,2,0,0.0
110,20090702,15,1.98,156.21,2009,7,2,0,0.0
111,20090702,16,2.26,148.97,2009,7,2,0,0.01
112,20090702,17,2.52,146.21,2009,7,2,0,0.01
113,20090702,18,2.9,145.54,2009,7,2,0,0.01
114,20090702,19,3.46,145.57,2009,7,2,0,0.01
115,20090702,20,4.02,145.73,2009,7,2,0,0.01
116,20090702,21,4.33,145.78,2009,7,2,0,0.08
117,20090702,22,4.21,145.51,2009,7,2,0,0.025
118,20090702,23,3.8,144.44,2009,7,2,0,0.08
120,20090702,25,2.83,136.19,2009,7,2,0,0.12
121,20090702,26,2.54,128.18,2009,7,2,0,0.035
122,20090702,27,2.44,119.41,2009,7,2,0,0.05
123,20090702,28,2.49,112.37,2009,7,2,0,0.08
124,20090702,29,2.64,108.19,2009,7,2,0,0.065
125,20090702,30,2.83,106.81,2009,7,2,0,0.14
126,20090702,31,3.05,107.43,2009,7,2,0,0.08
127,20090702,32,3.33,108.24,2009,7,2,0,0.055
128,20090702,33,3.74,107.63,2009,7,2,0,0.025
129,20090702,34,4.3,105.46,2009,7,2,0,0.04
130,20090702,35,4.88,104.21,2009,7,2,0,0.1
131,20090702,36,5.28,105.79,2009,7,2,0,0.175
132,20090702,37,5.42,111.06,2009,7,2,0,0.13
133,20090702,38,5.49,117.53,2009,7,2,0,0.095
134,20090702,39,5.66,121.48,2009,7,2,0,0.095
135,20090702,40,5.95,120.41,2009,7,2,0,0.19
136,20090702,41,6.33,116.6,2009,7,2,0,0.221
137,20090702,42,6.71,112.96,2009,7,2,0,0.226
138,20090702,43,7.0,111.15,2009,7,2,0,0.301
139,20090702,44,7.14,110.75,2009,7,2,0,0.42100000000000004
140,20090702,45,7.16,111.08,2009,7,2,0,0.486
141,20090702,46,7.05,111.66,2009,7,2,0,0.47600000000000003
142,20090702,47,6.77,112.31,2009,7,2,0,0.47600000000000003
144,20090702,1,2.22,169.75,2009,7,2,12,0.0
145,20090702,2,2.4,162.17,2009,7,2,12,0.01
146,20090702,3,2.52,158.7,2009,7,2,12,0.01
147,20090702,4,2.57,157.24,2009,7,2,12,0.0
148,20090702,5,2.63,156.03,2009,7,2,12,0.0
149,20090702,6,2.76,153.58,2009,7,2,12,0.0
150,20090702,7,3.04,149.37,2009,7,2,12,0.0
151,20090702,8,3.39,144.51,2009,7,2,12,0.0
152,20090702,9,3.69,139.6,2009,7,2,12,0.015
153,20090702,10,3.85,134.69,2009,7,2,12,0.03
154,20090702,11,3.83,130.17,2009,7,2,12,0.01
155,20090702,12,3.62,126.63,2009,7,2,12,0.0
156,20090702,13,3.21,124.46,2009,7,2,12,0.12
157,20090702,14,2.77,122.46,2009,7,2,12,0.035
158,20090702,15,2.52,118.82,2009,7,2,12,0.05
159,20090702,16,2.63,113.11,2009,7,2,12,0.08
160,20090702,17,2.98,107.83,2009,7,2,12,0.065
161,20090702,18,3.35,104.05,2009,7,2,12,0.14
162,20090702,19,3.56,101.43,2009,7,2,12,0.08
163,20090702,20,3.69,99.91,2009,7,2,12,0.055
164,20090702,21,3.87,99.86,2009,7,2,12,0.025
165,20090702,22,4.19,101.53,2009,7,2,12,0.04
166,20090702,23,4.59,104.84,2009,7,2,12,0.1
167,20090702,24,4.99,109.74,2009,7,2,12,0.175
168,20090702,25,5.34,116.04,2009,7,2,12,0.13
169,20090702,26,5.68,122.19,2009,7,2,12,0.095
170,20090702,27,6.01,126.51,2009,7,2,12,0.095
171,20090702,28,6.31,128.0,2009,7,2,12,0.19
172,20090702,29,6.54,127.02,2009,7,2,12,0.221
173,20090702,30,6.75,124.08,2009,7,2,12,0.226
174,20090702,31,6.95,119.83,2009,7,2,12,0.301
175,20090702,32,7.11,115.85,2009,7,2,12,0.42100000000000004
176,20090702,33,7.14,113.65,2009,7,2,12,0.486
177,20090702,34,6.94,114.17,2009,7,2,12,0.47600000000000003
178,20090702,35,6.52,116.35,2009,7,2,12,0.47600000000000003
180,20090702,37,5.2,118.98,2009,7,2,12,0.47600000000000003
181,20090702,38,4.48,117.73,2009,7,2,12,0.501
182,20090702,39,3.94,115.67,2009,7,2,12,0.662
183,20090702,40,3.71,114.43,2009,7,2,12,0.747
184,20090702,41,3.64,114.52,2009,7,2,12,0.622
185,20090702,42,3.54,115.73,2009,7,2,12,0.406
186,20090702,43,3.3,118.01,2009,7,2,12,0.19
187,20090702,44,3.09,121.57,2009,7,2,12,0.11
188,20090702,45,3.13,125.78,2009,7,2,12,0.075
189,20090702,46,3.6,128.87,2009,7,2,12,0.135
190,20090702,47,4.39,129.95,2009,7,2,12,0.11
191,20090702,48,5.35,129.42,2009,7,2,12,0.201
192,20090703,1,2.97,136.14,2009,7,3,0,0.12
193,20090703,2,2.86,132.13,2009,7,3,0,0.035
194,20090703,3,2.93,125.85,2009,7,3,0,0.05
195,20090703,4,3.14,119.18,2009,7,3,0,0.08
196,20090703,5,3.41,113.51,2009,7,3,0,0.065
197,20090703,6,3.63,109.2,2009,7,3,0,0.14
198,20090703,7,3.72,106.16,2009,7,3,0,0.08
199,20090703,8,3.77,104.81,2009,7,3,0,0.055
200,20090703,9,3.95,105.91,2009,7,3,0,0.025
201,20090703,10,4.35,109.48,2009,7,3,0,0.04
202,20090703,11,4.87,114.04,2009,7,3,0,0.1
203,20090703,12,5.37,118.64,2009,7,3,0,0.175
204,20090703,13,5.71,123.01,2009,7,3,0,0.13
205,20090703,14,5.96,126.57,2009,7,3,0,0.095
206,20090703,15,6.21,128.44,2009,7,3,0,0.095
207,20090703,16,6.52,128.0,2009,7,3,0,0.19
208,20090703,17,6.85,125.89,2009,7,3,0,0.221
209,20090703,18,7.14,122.88,2009,7,3,0,0.226
210,20090703,19,7.32,119.55,2009,7,3,0,0.301
211,20090703,20,7.41,116.63,2009,7,3,0,0.42100000000000004
212,20090703,21,7.38,114.89,2009,7,3,0,0.486
213,20090703,22,7.23,114.87,2009,7,3,0,0.47600000000000003
214,20090703,23,6.88,115.84,2009,7,3,0,0.47600000000000003
216,20090703,25,5.45,116.57,2009,7,3,0,0.47600000000000003
217,20090703,26,4.54,115.45,2009,7,3,0,0.501
218,20090703,27,3.84,114.26,2009,7,3,0,0.662
219,20090703,28,3.5,114.39,2009,7,3,0,0.747
220,20090703,29,3.38,115.32,2009,7,3,0,0.622
221,20090703,30,3.21,115.61,2009,7,3,0,0.406
222,20090703,31,2.87,114.34,2009,7,3,0,0.19
223,20090703,32,2.62,113.85,2009,7,3,0,0.11
224,20090703,33,2.84,118.02,2009,7,3,0,0.075
225,20090703,34,3.8,125.17,2009,7,3,0,0.135
226,20090703,35,5.13,129.74,2009,7,3,0,0.11
227,20090703,36,6.26,131.48,2009,7,3,0,0.201
228,20090703,37,6.75,131.22,2009,7,3,0,0.386
229,20090703,38,6.73,130.11,2009,7,3,0,0.461
230,20090703,39,6.52,129.15,2009,7,3,0,0.451
231,20090703,40,6.35,129.29,2009,7,3,0,0.376
232,20090703,41,6.29,130.59,2009,7,3,0,0.266
233,20090703,42,6.36,132.69,2009,7,3,0,0.24100000000000002
234,20090703,43,6.54,135.08,2009,7,3,0,0.23600000000000002
235,20090703,44,6.55,136.99,2009,7,3,0,0.226
236,20090703,45,6.1,137.86,2009,7,3,0,0.271
237,20090703,46,5.0,136.92,2009,7,3,0,0.271
238,20090703,47,3.65,132.35,2009,7,3,0,0.29600000000000004
240,20090703,1,4.74,128.18,2009,7,3,12,0.12
241,20090703,2,5.3,132.5,2009,7,3,12,0.035
242,20090703,3,5.97,132.24,2009,7,3,12,0.05
243,20090703,4,6.66,129.64,2009,7,3,12,0.08
244,20090703,5,7.26,126.24,2009,7,3,12,0.065
245,20090703,6,7.62,122.86,2009,7,3,12,0.14
246,20090703,7,7.67,119.83,2009,7,3,12,0.08
247,20090703,8,7.52,117.26,2009,7,3,12,0.055
248,20090703,9,7.35,115.55,2009,7,3,12,0.025
249,20090703,10,7.28,115.09,2009,7,3,12,0.04
250,20090703,11,7.17,115.46,2009,7,3,12,0.1
251,20090703,12,6.81,116.0,2009,7,3,12,0.175
252,20090703,13,6.07,116.17,2009,7,3,12,0.47600000000000003
253,20090703,14,5.17,115.93,2009,7,3,12,0.501
254,20090703,15,4.39,115.4,2009,7,3,12,0.662
255,20090703,16,3.95,114.82,2009,7,3,12,0.747
256,20090703,17,3.68,114.37,2009,7,3,12,0.622
257,20090703,18,3.38,114.04,2009,7,3,12,0.406
258,20090703,19,2.91,113.85,2009,7,3,12,0.19
259,20090703,20,2.52,114.54,2009,7,3,12,0.11
260,20090703,21,2.57,116.95,2009,7,3,12,0.075
261,20090703,22,3.27,119.97,2009,7,3,12,0.135
262,20090703,23,4.37,122.03,2009,7,3,12,0.11
263,20090703,24,5.47,123.41,2009,7,3,12,0.201
264,20090703,25,6.25,124.56,2009,7,3,12,0.386
265,20090703,26,6.68,125.63,2009,7,3,12,0.461
266,20090703,27,6.78,126.61,2009,7,3,12,0.451
267,20090703,28,6.61,127.55,2009,7,3,12,0.376
268,20090703,29,6.37,128.83,2009,7,3,12,0.266
269,20090703,30,6.29,130.81,2009,7,3,12,0.24100000000000002
270,20090703,31,6.49,133.38,2009,7,3,12,0.23600000000000002
271,20090703,32,6.64,135.67,2009,7,3,12,0.226
272,20090703,33,6.32,137.18,2009,7,3,12,0.271
273,20090703,34,5.24,137.51,2009,7,3,12,0.271
274,20090703,35,3.84,135.24,2009,7,3,12,0.29600000000000004
276,20090703,37,2.48,109.42,2009,7,3,12,0.12
277,20090703,38,2.89,97.47,2009,7,3,12,0.195
278,20090703,39,3.39,92.69,2009,7,3,12,0.281
279,20090703,40,3.62,91.43,2009,7,3,12,0.221
280,20090703,41,3.62,91.91,2009,7,3,12,0.14
281,20090703,42,3.56,93.41,2009,7,3,12,0.21600000000000003
282,20090703,43,3.56,95.12,2009,7,3,12,0.281
283,20090703,44,3.6,95.72,2009,7,3,12,0.20600000000000002
284,20090703,45,3.61,93.93,2009,7,3,12,0.185
285,20090703,46,3.58,89.04,2009,7,3,12,0.24600000000000002
286,20090703,47,3.56,83.04,2009,7,3,12,0.266
287,20090703,48,3.58,78.91,2009,7,3,12,0.165
288,20090704,1,5.91,112.45,2009,7,4,0,0.47600000000000003
289,20090704,2,5.38,115.22,2009,7,4,0,0.501
290,20090704,3,4.89,116.34,2009,7,4,0,0.662
291,20090704,4,4.45,116.08,2009,7,4,0,0.747
292,20090704,5,4.06,115.24,2009,7,4,0,0.622
293,20090704,6,3.7,115.13,2009,7,4,0,0.406
294,20090704,7,3.4,117.07,2009,7,4,0,0.19
295,20090704,8,3.28,120.38,2009,7,4,0,0.11
296,20090704,9,3.52,122.89,2009,7,4,0,0.075
297,20090704,10,4.17,123.15,2009,7,4,0,0.135
298,20090704,11,5.05,122.74,2009,7,4,0,0.11
299,20090704,12,5.88,123.03,2009,7,4,0,0.201
300,20090704,13,6.46,124.48,2009,7,4,0,0.386
301,20090704,14,6.75,126.69,2009,7,4,0,0.461
302,20090704,15,6.77,129.28,2009,7,4,0,0.451
303,20090704,16,6.56,131.93,2009,7,4,0,0.376
304,20090704,17,6.34,134.02,2009,7,4,0,0.266
305,20090704,18,6.32,134.46,2009,7,4,0,0.24100000000000002
306,20090704,19,6.63,132.75,2009,7,4,0,0.23600000000000002
307,20090704,20,6.87,130.4,2009,7,4,0,0.226
308,20090704,21,6.53,128.7,2009,7,4,0,0.271
309,20090704,22,5.3,128.19,2009,7,4,0,0.271
310,20090704,23,3.68,127.53,2009,7,4,0,0.29600000000000004
312,20090704,25,2.22,107.36,2009,7,4,0,0.12
313,20090704,26,2.74,95.16,2009,7,4,0,0.195
314,20090704,27,3.35,87.75,2009,7,4,0,0.281
315,20090704,28,3.62,80.64,2009,7,4,0,0.221
316,20090704,29,3.63,73.74,2009,7,4,0,0.14
317,20090704,30,3.53,69.26,2009,7,4,0,0.21600000000000003
318,20090704,31,3.39,69.89,2009,7,4,0,0.281
319,20090704,32,3.29,75.29,2009,7,4,0,0.20600000000000002
320,20090704,33,3.33,83.51,2009,7,4,0,0.185
321,20090704,34,3.55,91.91,2009,7,4,0,0.24600000000000002
322,20090704,35,3.87,99.62,2009,7,4,0,0.266
323,20090704,36,4.18,107.07,2009,7,4,0,0.165
324,20090704,37,4.45,114.81,2009,7,4,0,0.025
325,20090704,38,4.7,122.05,2009,7,4,0,0.01
326,20090704,39,4.97,127.59,2009,7,4,0,0.0
327,20090704,40,5.24,130.65,2009,7,4,0,0.01
328,20090704,41,5.5,131.65,2009,7,4,0,0.035
329,20090704,42,5.77,131.19,2009,7,4,0,0.03
330,20090704,43,6.01,129.85,2009,7,4,0,0.02
331,20090704,44,5.99,128.48,2009,7,4,0,0.045
332,20090704,45,5.39,127.81,2009,7,4,0,0.07
333,20090704,46,4.07,128.55,2009,7,4,0,0.085
334,20090704,47,2.54,130.52,2009,7,4,0,0.065
336,20090704,1,6.7,132.94,2009,7,4,12,0.47600000000000003
337,20090704,2,6.75,132.32,2009,7,4,12,0.501
338,20090704,3,6.61,132.85,2009,7,4,12,0.662
339,20090704,4,6.34,134.06,2009,7,4,12,0.747
340,20090704,5,6.09,135.15,2009,7,4,12,0.622
341,20090704,6,6.02,135.02,2009,7,4,12,0.406
342,20090704,7,6.21,133.05,2009,7,4,12,0.19
343,20090704,8,6.36,130.23,2009,7,4,12,0.11
344,20090704,9,6.07,127.34,2009,7,4,12,0.075
345,20090704,10,5.1,124.22,2009,7,4,12,0.135
346,20090704,11,3.86,119.72,2009,7,4,12,0.11
347,20090704,12,2.95,113.22,2009,7,4,12,0.201
348,20090704,13,2.77,108.06,2009,7,4,12,0.12
349,20090704,14,3.05,106.35,2009,7,4,12,0.195
350,20090704,15,3.43,105.85,2009,7,4,12,0.281
351,20090704,16,3.62,104.51,2009,7,4,12,0.221
352,20090704,17,3.65,102.25,2009,7,4,12,0.14
353,20090704,18,3.62,99.42,2009,7,4,12,0.21600000000000003
354,20090704,19,3.62,96.38,2009,7,4,12,0.281
355,20090704,20,3.62,92.91,2009,7,4,12,0.20600000000000002
356,20090704,21,3.59,88.48,2009,7,4,12,0.185
357,20090704,22,3.51,82.76,2009,7,4,12,0.24600000000000002
358,20090704,23,3.41,77.06,2009,7,4,12,0.266
359,20090704,24,3.29,73.44,2009,7,4,12,0.165
360,20090704,25,3.14,73.68,2009,7,4,12,0.025
361,20090704,26,3.02,77.26,2009,7,4,12,0.01
362,20090704,27,3.05,82.43,2009,7,4,12,0.0
363,20090704,28,3.25,87.2,2009,7,4,12,0.01
364,20090704,29,3.55,91.96,2009,7,4,12,0.035
365,20090704,30,3.85,97.96,2009,7,4,12,0.03
366,20090704,31,4.09,105.89,2009,7,4,12,0.02
367,20090704,32,4.2,114.23,2009,7,4,12,0.045
368,20090704,33,4.03,122.06,2009,7,4,12,0.07
369,20090704,34,3.45,129.88,2009,7,4,12,0.085
370,20090704,35,2.65,140.2,2009,7,4,12,0.065
372,20090704,37,1.48,177.4,2009,7,4,12,0.01
373,20090704,38,1.19,195.88,2009,7,4,12,0.035
374,20090704,39,0.7,208.66,2009,7,4,12,0.09
375,20090704,40,0.18,19.47,2009,7,4,12,0.115
376,20090704,41,1.26,33.51,2009,7,4,12,0.06
377,20090704,42,2.28,36.61,2009,7,4,12,0.05
378,20090704,43,3.0,38.69,2009,7,4,12,0.03
379,20090704,44,3.26,40.79,2009,7,4,12,0.0
380,20090704,45,2.97,43.81,2009,7,4,12,0.0
381,20090704,46,2.12,50.42,2009,7,4,12,0.04
382,20090704,47,1.25,70.03,2009,7,4,12,0.04
383,20090704,48,1.06,102.67,2009,7,4,12,0.09
384,20090705,1,3.66,106.24,2009,7,5,0,0.12
385,20090705,2,3.33,104.72,2009,7,5,0,0.195
386,20090705,3,3.18,102.23,2009,7,5,0,0.281
387,20090705,4,3.17,99.29,2009,7,5,0,0.221
388,20090705,5,3.24,96.8,2009,7,5,0,0.14
389,20090705,6,3.34,95.47,2009,7,5,0,0.21600000000000003
390,20090705,7,3.41,95.41,2009,7,5,0,0.281
391,20090705,8,3.44,95.31,2009,7,5,0,0.20600000000000002
392,20090705,9,3.43,93.59,2009,7,5,0,0.185
393,20090705,10,3.41,89.44,2009,7,5,0,0.24600000000000002
394,20090705,11,3.41,85.52,2009,7,5,0,0.266
395,20090705,12,3.45,85.48,2009,7,5,0,0.165
396,20090705,13,3.56,91.44,2009,7,5,0,0.025
397,20090705,14,3.72,100.35,2009,7,5,0,0.01
398,20090705,15,3.87,108.78,2009,7,5,0,0.0
399,20090705,16,3.87,115.06,2009,7,5,0,0.01
400,20090705,17,3.82,118.78,2009,7,5,0,0.035
401,20090705,18,3.89,118.86,2009,7,5,0,0.03
402,20090705,19,4.19,115.24,2009,7,5,0,0.02
403,20090705,20,4.53,110.89,2009,7,5,0,0.045
404,20090705,21,4.56,107.86,2009,7,5,0,0.07
405,20090705,22,4.06,106.89,2009,7,5,0,0.085
406,20090705,23,3.31,106.88,2009,7,5,0,0.065
408,20090705,25,2.59,101.45,2009,7,5,0,0.01
409,20090705,26,2.79,96.81,2009,7,5,0,0.035
410,20090705,27,3.04,94.47,2009,7,5,0,0.09
411,20090705,28,3.09,94.66,2009,7,5,0,0.115
412,20090705,29,2.99,95.59,2009,7,5,0,0.06
413,20090705,30,2.86,94.98,2009,7,5,0,0.05
414,20090705,31,2.8,91.61,2009,7,5,0,0.03
415,20090705,32,2.76,89.98,2009,7,5,0,0.0
416,20090705,33,2.64,96.35,2009,7,5,0,0.0
417,20090705,34,2.58,115.4,2009,7,5,0,0.04
418,20090705,35,2.89,135.81,2009,7,5,0,0.04
419,20090705,36,3.23,145.78,2009,7,5,0,0.09
420,20090705,37,3.18,143.65,2009,7,5,0,0.125
421,20090705,38,3.05,131.88,2009,7,5,0,0.085
422,20090705,39,3.4,117.41,2009,7,5,0,0.055
423,20090705,40,4.36,110.08,2009,7,5,0,0.085
424,20090705,41,5.52,108.53,2009,7,5,0,0.21100000000000002
425,20090705,42,6.45,109.39,2009,7,5,0,0.266
426,20090705,43,6.88,111.41,2009,7,5,0,0.185
427,20090705,44,6.86,114.52,2009,7,5,0,0.16
428,20090705,45,6.58,118.95,2009,7,5,0,0.075
429,20090705,46,6.17,124.62,2009,7,5,0,0.175
430,20090705,47,5.67,130.07,2009,7,5,0,0.12
432,20090705,1,3.55,83.01,2009,7,5,12,0.12
433,20090705,2,3.94,90.84,2009,7,5,12,0.195
434,20090705,3,4.1,97.9,2009,7,5,12,0.281
435,20090705,4,4.11,104.57,2009,7,5,12,0.221
436,20090705,5,4.09,109.68,2009,7,5,12,0.14
437,20090705,6,4.1,111.21,2009,7,5,12,0.21600000000000003
438,20090705,7,4.2,108.12,2009,7,5,12,0.281
439,20090705,8,4.29,103.66,2009,7,5,12,0.20600000000000002
440,20090705,9,4.18,101.39,2009,7,5,12,0.185
441,20090705,10,3.72,103.82,2009,7,5,12,0.24600000000000002
442,20090705,11,3.14,109.42,2009,7,5,12,0.266
443,20090705,12,2.73,112.95,2009,7,5,12,0.165
444,20090705,13,2.63,107.86,2009,7,5,12,0.01
445,20090705,14,2.78,100.47,2009,7,5,12,0.035
446,20090705,15,2.96,99.57,2009,7,5,12,0.09
447,20090705,16,3.0,108.47,2009,7,5,12,0.115
448,20090705,17,2.99,119.37,2009,7,5,12,0.06
449,20090705,18,2.84,121.75,2009,7,5,12,0.05
450,20090705,19,2.5,105.79,2009,7,5,12,0.03
451,20090705,20,2.6,79.24,2009,7,5,12,0.0
452,20090705,21,3.07,64.73,2009,7,5,12,0.0
453,20090705,22,3.25,66.69,2009,7,5,12,0.04
454,20090705,23,3.15,77.91,2009,7,5,12,0.04
455,20090705,24,2.99,92.38,2009,7,5,12,0.09
456,20090705,25,2.75,104.88,2009,7,5,12,0.125
457,20090705,26,2.63,113.22,2009,7,5,12,0.085
458,20090705,27,2.87,113.42,2009,7,5,12,0.055
459,20090705,28,3.68,106.91,2009,7,5,12,0.085
460,20090705,29,4.8,102.13,2009,7,5,12,0.21100000000000002
461,20090705,30,5.7,101.76,2009,7,5,12,0.266
462,20090705,31,6.01,106.04,2009,7,5,12,0.185
463,20090705,32,5.94,112.99,2009,7,5,12,0.16
464,20090705,33,5.76,119.96,2009,7,5,12,0.075
465,20090705,34,5.58,124.08,2009,7,5,12,0.175
466,20090705,35,5.24,125.42,2009,7,5,12,0.12
468,20090705,37,3.71,122.61,2009,7,5,12,0.05
469,20090705,38,2.75,117.63,2009,7,5,12,0.07
470,20090705,39,2.1,108.58,2009,7,5,12,0.005
471,20090705,40,1.97,99.44,2009,7,5,12,0.0
472,20090705,41,2.15,95.18,2009,7,5,12,0.03
473,20090705,42,2.33,94.53,2009,7,5,12,0.02
474,20090705,43,2.34,95.32,2009,7,5,12,0.075
475,20090705,44,2.37,97.23,2009,7,5,12,0.105
476,20090705,45,2.71,99.64,2009,7,5,12,0.16
477,20090705,46,3.55,101.42,2009,7,5,12,0.18
478,20090705,47,4.64,102.73,2009,7,5,12,0.231
479,20090705,48,5.65,104.21,2009,7,5,12,0.306
480,20090706,1,2.97,108.7,2009,7,6,0,0.01
481,20090706,2,2.94,108.75,2009,7,6,0,0.035
482,20090706,3,2.85,115.61,2009,7,6,0,0.09
483,20090706,4,2.79,126.18,2009,7,6,0,0.115
484,20090706,5,2.77,134.25,2009,7,6,0,0.06
485,20090706,6,2.62,133.12,2009,7,6,0,0.05
486,20090706,7,2.4,116.54,2009,7,6,0,0.03
487,20090706,8,2.54,92.97,2009,7,6,0,0.0
